,video_ID,has_title,has_description,has_tags,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,video_duration,transcript_sentence_count,transcription_confidence_avg,transcript_wordcount,transcript_unique_wordcount,transcription_active_wordcount,transcription_summary_wordcount,transcription_transition_wordcount,unique_obj_count,scene_count,MED_pred,UND_pred
785,3tT7A_5E3HY,1,1,1,-7.05,2,1,1,0,0,0,195,40.0,0.9157408831152817,743.0,317.0,101.0,0.0,42.0,49.0,56.0,0,0
786,ZHi_A6tC40Y,1,1,1,10.95857143,2,21,20,1,0,2,125,9.0,0.961743683,73.0,53.0,10.0,0.0,5.0,24.0,22.0,1,1
787,z_3S2_41_FE,1,1,1,15.42377271,9,263,171,3,0,27,300,47.0,0.962549218,934.0,333.0,147.0,0.0,55.0,47.0,5.0,1,1
788,PpuiO6WJxic,1,1,0,8.476363636,1,11,11,1,0,0,258,21.0,0.970794042,435.0,199.0,61.0,0.0,26.0,4.0,2.0,1,1
789,HE-erLKq1T4,1,1,0,8.977073171,5,41,37,2,0,6,271,6.0,0.829310542,33.0,22.0,5.0,0.0,1.0,19.0,28.0,1,1
790,t8sIioCX0lk,1,1,1,20.35577731,8,357,164,7,0,44,120,22.0,0.907561094,351.0,176.0,64.0,0.0,23.0,31.0,7.0,1,1
791,UowWA-8TiyI,1,1,1,16.63083333,3,80,57,3,0,6,138,16.0,0.97606793,324.0,162.0,38.0,0.0,15.0,31.0,31.0,0,1
792,sXB1M0jqU2g,1,1,1,8.373,4,45,29,2,0,4,245,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,10.0,2.0,0,1
793,oIdrn7hLbGk,1,1,1,14.625,1,36,24,1,0,8,178,21.0,0.961582398,314.0,152.0,49.0,0.0,24.0,22.0,9.0,0,1
794,LeG45M4XTjA,1,1,1,34.23351916,5,287,175,6,1,27,332,8.0,0.956474269,74.0,48.0,8.0,0.0,5.0,11.0,7.0,0,1
795,YsxwEBgdTsM,1,1,1,0.0,0,0,0,0,0,0,84,34.0,0.9157408831152817,517.0,216.0,92.0,0.0,26.0,65.0,44.0,1,1
796,gBNsX6sgALM,1,1,1,23.46083232,9,275,207,5,0,18,282,36.0,0.964611101,710.0,245.0,103.0,0.0,34.0,21.0,2.0,1,1
797,34CZ3w2kQok,1,1,0,12.83,1,12,12,1,0,2,158,25.0,0.898918731,278.0,135.0,38.0,0.0,10.0,30.0,3.0,0,1
798,nTqmWLAksmk,1,1,1,17.83009416,17,581,272,11,0,64,248,33.0,0.951173574,545.0,227.0,66.0,0.0,29.0,22.0,6.0,1,1
799,YSX4UvOl_Rs,1,1,1,18.672,2,75,55,3,0,9,70,6.0,0.929587205,73.0,52.0,11.0,0.0,1.0,23.0,1.0,1,1
