date,diabetes and reduced sexual desire women,diabetes and vomiting,diabetes infections,diabetes myocardial infarct,diabetes causes,isPartial
2019-07-21,0,1,4,0,70,False
2019-07-28,0,2,6,0,58,False
2019-08-04,0,1,5,0,63,False
2019-08-11,0,2,6,0,58,False
2019-08-18,0,1,3,0,59,False
2019-08-25,0,2,4,0,77,False
2019-09-01,0,2,7,0,66,False
2019-09-08,0,1,6,0,72,False
2019-09-15,0,2,3,0,64,False
2019-09-22,0,3,7,0,76,False
2019-09-29,0,3,6,0,91,False
2019-10-06,0,2,5,0,78,False
2019-10-13,0,2,6,0,76,False
2019-10-20,0,4,4,0,86,False
2019-10-27,0,2,7,0,81,False
2019-11-03,0,1,4,0,80,False
2019-11-10,0,3,8,0,84,False
2019-11-17,0,3,5,0,88,False
2019-11-24,0,3,3,0,62,False
2019-12-01,0,2,5,0,89,False
2019-12-08,0,1,7,0,86,False
2019-12-15,0,1,4,0,65,False
2019-12-22,0,2,5,0,62,False
2019-12-29,0,2,4,0,70,False
2020-01-05,0,2,5,0,72,False
2020-01-12,0,4,5,0,66,False
2020-01-19,0,1,5,0,67,False
2020-01-26,0,4,5,0,76,False
2020-02-02,0,4,4,0,84,False
2020-02-09,0,3,4,0,82,False
2020-02-16,0,2,6,0,76,False
2020-02-23,0,3,6,0,86,False
2020-03-01,0,2,3,0,77,False
2020-03-08,0,1,5,0,66,False
2020-03-15,0,1,5,0,62,False
2020-03-22,0,3,6,0,64,False
2020-03-29,0,4,6,0,70,False
2020-04-05,0,5,7,0,90,False
2020-04-12,0,5,6,0,75,False
2020-04-19,0,4,5,0,87,False
2020-04-26,0,3,5,0,83,False
2020-05-03,0,3,8,0,77,False
2020-05-10,0,3,8,0,66,False
2020-05-17,0,2,3,0,71,False
2020-05-24,0,2,5,0,69,False
2020-05-31,0,2,4,0,59,False
2020-06-07,0,1,9,0,63,False
2020-06-14,0,2,5,0,69,False
2020-06-21,0,2,6,0,79,False
2020-06-28,0,2,5,0,65,False
2020-07-05,0,2,4,0,69,False
2020-07-12,0,3,6,0,75,False
2020-07-19,0,2,6,0,80,False
2020-07-26,0,3,4,0,60,False
2020-08-02,0,2,3,0,71,False
2020-08-09,0,1,8,0,78,False
2020-08-16,0,2,6,0,82,False
2020-08-23,0,3,4,0,70,False
2020-08-30,0,3,4,0,74,False
2020-09-06,0,1,5,0,65,False
2020-09-13,0,1,7,0,76,False
2020-09-20,0,2,6,0,88,False
2020-09-27,0,2,5,0,81,False
2020-10-04,0,2,6,0,79,False
2020-10-11,0,4,6,0,81,False
2020-10-18,0,4,7,0,86,False
2020-10-25,0,3,4,0,74,False
2020-11-01,0,3,6,0,63,False
2020-11-08,0,2,5,0,80,False
2020-11-15,0,3,3,0,90,False
2020-11-22,0,5,4,0,68,False
2020-11-29,0,2,8,0,76,False
2020-12-06,0,4,8,0,76,False
2020-12-13,0,3,6,0,73,False
2020-12-20,0,2,6,0,51,False
2020-12-27,0,4,5,0,54,False
2021-01-03,0,2,6,0,55,False
2021-01-10,0,4,5,0,69,False
2021-01-17,0,3,5,0,68,False
2021-01-24,0,2,5,0,80,False
2021-01-31,0,5,7,0,77,False
2021-02-07,0,4,5,0,82,False
2021-02-14,0,2,5,0,76,False
2021-02-21,0,1,6,0,90,False
2021-02-28,0,1,6,0,95,False
2021-03-07,0,4,6,0,79,False
2021-03-14,0,4,6,0,64,False
2021-03-21,0,3,5,0,78,False
2021-03-28,0,3,7,0,70,False
2021-04-04,0,5,3,0,77,False
2021-04-11,0,1,6,0,86,False
2021-04-18,0,4,4,0,75,False
2021-04-25,0,2,7,0,75,False
2021-05-02,0,3,3,0,76,False
2021-05-09,0,2,5,0,65,False
2021-05-16,0,3,6,0,66,False
2021-05-23,0,2,4,0,77,False
2021-05-30,0,2,2,0,58,False
2021-06-06,0,0,5,0,77,False
2021-06-13,0,2,5,0,70,False
2021-06-20,0,4,5,0,71,False
2021-06-27,0,1,5,0,68,False
2021-07-04,0,1,6,0,71,False
2021-07-11,0,2,5,0,66,False
2021-07-18,0,2,5,0,60,False
2021-07-25,0,3,4,0,63,False
2021-08-01,0,3,6,0,63,False
2021-08-08,0,2,4,0,64,False
2021-08-15,0,3,5,0,68,False
2021-08-22,0,1,5,0,61,False
2021-08-29,0,2,5,0,66,False
2021-09-05,0,3,6,0,63,False
2021-09-12,0,4,4,0,73,False
2021-09-19,0,3,5,0,75,False
2021-09-26,0,1,4,0,79,False
2021-10-03,0,6,6,0,80,False
2021-10-10,0,2,6,0,73,False
2021-10-17,0,2,3,0,90,False
2021-10-24,0,6,7,0,77,False
2021-10-31,0,3,5,0,64,False
2021-11-07,0,1,9,0,73,False
2021-11-14,0,4,4,0,68,False
2021-11-21,0,1,7,0,63,False
2021-11-28,0,3,8,0,85,False
2021-12-05,0,2,4,0,76,False
2021-12-12,0,3,6,0,71,False
2021-12-19,0,1,6,0,66,False
2021-12-26,0,3,5,0,57,False
2022-01-02,0,2,5,0,54,False
2022-01-09,0,2,4,0,76,False
2022-01-16,0,5,3,0,82,False
2022-01-23,0,2,5,0,74,False
2022-01-30,0,3,3,0,80,False
2022-02-06,0,4,6,0,78,False
2022-02-13,0,2,6,0,74,False
2022-02-20,0,3,6,0,83,False
2022-02-27,0,5,6,0,80,False
2022-03-06,0,2,7,0,82,False
2022-03-13,0,1,4,0,86,False
2022-03-20,0,3,6,0,68,False
2022-03-27,0,1,5,0,68,False
2022-04-03,0,3,6,0,85,False
2022-04-10,0,4,6,0,77,False
2022-04-17,0,3,7,0,88,False
2022-04-24,0,3,5,0,82,False
2022-05-01,0,1,6,0,69,False
2022-05-08,0,3,4,0,75,False
2022-05-15,0,4,5,0,72,False
2022-05-22,0,0,0,0,54,True
