date,diabetes lose weight ,borderline diabetes,diabetes kit,onset diabetes,diabetes causes,isPartial
2020-10-18,10,5,10,15,86,False
2020-10-25,6,5,10,11,74,False
2020-11-01,5,3,6,11,63,False
2020-11-08,9,4,10,13,80,False
2020-11-15,12,2,14,18,90,False
2020-11-22,9,2,6,14,68,False
2020-11-29,10,4,7,15,76,False
2020-12-06,10,3,7,13,76,False
2020-12-13,10,3,10,16,73,False
2020-12-20,7,3,10,11,51,False
2020-12-27,14,2,10,8,54,False
2021-01-03,13,2,11,11,55,False
2021-01-10,18,2,7,13,69,False
2021-01-17,13,1,4,10,68,False
2021-01-24,11,5,10,16,80,False
2021-01-31,10,3,8,15,77,False
2021-02-07,10,2,7,16,82,False
2021-02-14,10,3,10,16,76,False
2021-02-21,14,3,7,13,90,False
2021-02-28,11,3,5,14,95,False
2021-03-07,18,3,9,13,79,False
2021-03-14,9,2,6,9,64,False
2021-03-21,15,1,8,14,78,False
2021-03-28,12,3,9,13,70,False
2021-04-04,11,3,4,17,77,False
2021-04-11,12,8,10,19,86,False
2021-04-18,15,2,10,14,75,False
2021-04-25,16,6,8,13,75,False
2021-05-02,16,4,8,14,76,False
2021-05-09,10,2,11,7,65,False
2021-05-16,16,4,9,12,66,False
2021-05-23,14,3,6,12,77,False
2021-05-30,13,4,8,12,58,False
2021-06-06,12,6,8,11,77,False
2021-06-13,16,4,8,15,70,False
2021-06-20,7,4,10,13,71,False
2021-06-27,9,6,7,9,68,False
2021-07-04,14,5,7,8,71,False
2021-07-11,16,4,8,10,66,False
2021-07-18,14,5,10,12,60,False
2021-07-25,11,7,5,8,63,False
2021-08-01,10,5,9,10,63,False
2021-08-08,10,3,9,14,64,False
2021-08-15,12,2,11,9,68,False
2021-08-22,8,3,8,9,61,False
2021-08-29,9,2,9,10,66,False
2021-09-05,7,3,12,13,63,False
2021-09-12,7,5,10,12,73,False
2021-09-19,10,6,8,10,75,False
2021-09-26,12,4,3,11,79,False
2021-10-03,8,3,7,9,80,False
2021-10-10,8,4,10,14,73,False
2021-10-17,9,2,7,16,90,False
2021-10-24,11,5,8,14,77,False
2021-10-31,13,2,10,10,64,False
2021-11-07,14,3,5,13,73,False
2021-11-14,12,3,8,18,68,False
2021-11-21,10,3,7,16,63,False
2021-11-28,13,2,12,20,85,False
2021-12-05,11,3,4,15,76,False
2021-12-12,10,2,9,11,71,False
2021-12-19,7,0,8,7,66,False
2021-12-26,13,6,10,9,57,False
2022-01-02,8,3,9,13,54,False
2022-01-09,10,2,10,15,76,False
2022-01-16,13,1,10,10,82,False
2022-01-23,12,1,8,16,74,False
2022-01-30,11,5,7,16,80,False
2022-02-06,12,4,9,16,78,False
2022-02-13,13,5,9,14,74,False
2022-02-20,14,1,10,14,83,False
2022-02-27,12,2,11,12,80,False
2022-03-06,14,4,10,12,82,False
2022-03-13,15,5,4,11,86,False
2022-03-20,14,1,10,12,68,False
2022-03-27,18,5,8,15,68,False
2022-04-03,15,5,8,12,85,False
2022-04-10,17,4,8,13,77,False
2022-04-17,14,5,12,8,88,False
2022-04-24,12,5,10,14,82,False
2022-05-01,10,3,6,6,69,False
2022-05-08,15,5,9,12,75,False
2022-05-15,14,5,7,16,72,False
2022-05-22,0,0,0,0,0,True
