date,Novolog,NPH insulin,Onglyza,oral hypoglycemic agents,diabetes causes,isPartial
2020-10-04,65,25,6,0,79,False
2020-10-11,69,25,7,0,81,False
2020-10-18,75,24,7,1,86,False
2020-10-25,70,29,6,0,74,False
2020-11-01,51,26,8,1,63,False
2020-11-08,64,18,5,2,80,False
2020-11-15,74,24,8,2,90,False
2020-11-22,45,20,6,0,68,False
2020-11-29,71,20,7,2,76,False
2020-12-06,68,19,7,1,76,False
2020-12-13,65,28,6,1,73,False
2020-12-20,58,14,5,0,51,False
2020-12-27,61,12,5,0,54,False
2021-01-03,67,18,5,1,55,False
2021-01-10,70,22,8,0,69,False
2021-01-17,74,21,8,0,68,False
2021-01-24,77,28,10,0,80,False
2021-01-31,78,25,11,2,77,False
2021-02-07,91,24,10,3,82,False
2021-02-14,77,20,11,0,76,False
2021-02-21,84,28,9,1,90,False
2021-02-28,66,23,10,0,95,False
2021-03-07,65,23,5,1,79,False
2021-03-14,76,24,7,0,64,False
2021-03-21,66,22,9,0,78,False
2021-03-28,69,20,8,1,70,False
2021-04-04,64,23,6,0,77,False
2021-04-11,66,32,6,1,86,False
2021-04-18,66,23,4,0,75,False
2021-04-25,70,23,5,1,75,False
2021-05-02,55,19,10,0,76,False
2021-05-09,70,21,9,0,65,False
2021-05-16,71,16,8,0,66,False
2021-05-23,70,19,4,2,77,False
2021-05-30,60,20,9,0,58,False
2021-06-06,62,18,5,1,77,False
2021-06-13,54,17,8,0,70,False
2021-06-20,64,24,8,1,71,False
2021-06-27,80,14,6,0,68,False
2021-07-04,53,19,6,1,71,False
2021-07-11,69,20,8,0,66,False
2021-07-18,67,21,7,0,60,False
2021-07-25,68,16,4,1,63,False
2021-08-01,74,20,4,1,63,False
2021-08-08,51,14,5,0,64,False
2021-08-15,60,11,8,0,68,False
2021-08-22,77,14,4,1,61,False
2021-08-29,64,22,7,1,66,False
2021-09-05,65,22,5,1,63,False
2021-09-12,73,25,7,1,73,False
2021-09-19,70,25,5,0,75,False
2021-09-26,56,23,5,1,79,False
2021-10-03,70,19,5,1,80,False
2021-10-10,69,18,6,2,73,False
2021-10-17,71,30,7,1,90,False
2021-10-24,68,27,3,0,77,False
2021-10-31,66,20,3,2,64,False
2021-11-07,61,23,7,1,73,False
2021-11-14,76,21,8,0,68,False
2021-11-21,56,17,7,0,63,False
2021-11-28,61,20,6,3,85,False
2021-12-05,68,23,2,0,76,False
2021-12-12,62,14,7,0,71,False
2021-12-19,52,9,7,0,66,False
2021-12-26,56,12,4,0,57,False
2022-01-02,62,18,4,0,54,False
2022-01-09,70,17,7,0,76,False
2022-01-16,70,23,7,1,82,False
2022-01-23,76,27,9,1,74,False
2022-01-30,73,26,7,0,80,False
2022-02-06,81,30,6,0,78,False
2022-02-13,71,22,5,2,74,False
2022-02-20,70,26,5,2,83,False
2022-02-27,71,25,5,0,80,False
2022-03-06,84,26,6,3,82,False
2022-03-13,61,22,7,1,86,False
2022-03-20,93,22,6,0,68,False
2022-03-27,68,18,6,1,68,False
2022-04-03,64,17,5,1,85,False
2022-04-10,61,26,6,1,77,False
2022-04-17,69,29,7,0,88,False
2022-04-24,67,18,7,0,82,False
2022-05-01,68,25,6,0,69,False
2022-05-08,59,17,7,1,75,False
2022-05-15,75,14,4,1,72,False
2022-05-22,27,20,0,0,54,True
