date,intermediate acting insulin,Invokana,islet cell transplantation,Januvia,diabetes causes,isPartial
2022-01-30,2,22,0,80,59,False
2022-02-06,2,21,0,82,58,False
2022-02-13,1,21,0,82,55,False
2022-02-20,1,18,0,79,61,False
2022-02-27,2,15,0,83,59,False
2022-03-06,1,23,0,72,61,False
2022-03-13,2,19,0,79,64,False
2022-03-20,1,16,0,89,50,False
2022-03-27,2,19,0,90,51,False
2022-04-03,1,20,0,81,63,False
2022-04-10,2,19,0,75,57,False
2022-04-17,0,23,0,74,65,False
2022-04-24,2,24,0,77,61,False
2022-05-01,2,21,0,81,51,False
2022-05-08,0,13,0,71,55,False
2022-05-15,1,20,0,71,53,False
2022-05-22,0,20,0,30,40,True
