date,Repaglinide,Rosiglitazone,Ryzodeg,saxagliptin,diabetes causes,isPartial
2020-06-28,6,0,0,2,65,False
2020-07-05,9,2,0,2,69,False
2020-07-12,7,2,0,2,75,False
2020-07-19,9,3,0,1,80,False
2020-07-26,6,2,0,5,60,False
2020-08-02,8,0,0,4,71,False
2020-08-09,6,3,0,3,78,False
2020-08-16,8,3,0,3,82,False
2020-08-23,7,1,0,3,70,False
2020-08-30,8,3,0,2,74,False
2020-09-06,7,1,0,2,65,False
2020-09-13,11,2,0,3,76,False
2020-09-20,10,1,0,3,88,False
2020-09-27,6,0,0,4,81,False
2020-10-04,9,2,0,5,79,False
2020-10-11,8,4,0,1,81,False
2020-10-18,12,1,0,1,86,False
2020-10-25,12,4,0,4,74,False
2020-11-01,6,2,0,2,63,False
2020-11-08,9,1,0,4,80,False
2020-11-15,10,3,0,2,90,False
2020-11-22,8,0,0,4,68,False
2020-11-29,8,2,0,1,76,False
2020-12-06,10,2,0,2,76,False
2020-12-13,5,2,1,5,73,False
2020-12-20,8,1,0,5,51,False
2020-12-27,4,0,0,1,54,False
2021-01-03,10,1,0,1,55,False
2021-01-10,8,2,1,2,69,False
2021-01-17,8,1,0,3,68,False
2021-01-24,7,3,0,3,80,False
2021-01-31,7,1,0,3,77,False
2021-02-07,9,2,0,5,82,False
2021-02-14,8,2,0,2,76,False
2021-02-21,10,1,0,4,90,False
2021-02-28,10,2,0,3,95,False
2021-03-07,13,1,2,3,79,False
2021-03-14,6,1,1,2,64,False
2021-03-21,8,2,0,4,78,False
2021-03-28,9,1,0,1,70,False
2021-04-04,6,2,0,3,77,False
2021-04-11,11,2,0,1,86,False
2021-04-18,9,2,1,2,75,False
2021-04-25,6,2,0,2,75,False
2021-05-02,10,1,0,3,76,False
2021-05-09,8,3,0,3,65,False
2021-05-16,8,2,0,4,66,False
2021-05-23,8,4,0,1,77,False
2021-05-30,10,2,0,1,58,False
2021-06-06,9,1,0,3,77,False
2021-06-13,8,2,0,3,70,False
2021-06-20,8,1,0,2,71,False
2021-06-27,6,3,0,3,68,False
2021-07-04,6,1,0,1,71,False
2021-07-11,11,1,0,3,66,False
2021-07-18,7,1,0,2,60,False
2021-07-25,11,3,0,2,63,False
2021-08-01,8,1,1,3,63,False
2021-08-08,8,1,1,3,64,False
2021-08-15,6,0,1,1,68,False
2021-08-22,9,1,0,1,61,False
2021-08-29,6,3,0,2,66,False
2021-09-05,7,2,1,4,63,False
2021-09-12,7,1,1,2,73,False
2021-09-19,7,0,0,1,75,False
2021-09-26,13,2,0,2,79,False
2021-10-03,9,1,0,2,80,False
2021-10-10,13,1,0,0,73,False
2021-10-17,7,4,0,1,90,False
2021-10-24,8,1,0,4,77,False
2021-10-31,8,4,0,5,64,False
2021-11-07,7,1,0,2,73,False
2021-11-14,7,1,0,5,68,False
2021-11-21,9,1,0,2,63,False
2021-11-28,9,1,0,2,85,False
2021-12-05,7,2,1,0,76,False
2021-12-12,8,1,0,0,71,False
2021-12-19,8,0,0,2,66,False
2021-12-26,7,0,0,0,57,False
2022-01-02,7,0,0,0,54,False
2022-01-09,8,2,0,2,76,False
2022-01-16,7,2,0,0,82,False
2022-01-23,7,0,0,2,74,False
2022-01-30,14,4,0,2,80,False
2022-02-06,12,2,0,1,78,False
2022-02-13,7,2,1,2,74,False
2022-02-20,9,2,0,1,83,False
2022-02-27,8,4,0,1,80,False
2022-03-06,10,2,0,2,82,False
2022-03-13,8,1,0,2,86,False
2022-03-20,7,0,0,2,68,False
2022-03-27,10,3,1,1,68,False
2022-04-03,8,2,0,3,85,False
2022-04-10,11,1,0,1,77,False
2022-04-17,7,2,0,3,88,False
2022-04-24,8,2,0,2,82,False
2022-05-01,6,2,1,2,69,False
2022-05-08,9,1,0,3,75,False
2022-05-15,6,0,0,0,72,False
2022-05-22,21,7,0,0,54,True
