date,SymlinPen,thiazolidinediones,Toujeo,Tradjenta,diabetes causes,isPartial
2019-10-06,0,3,31,29,78,False
2019-10-13,0,4,33,25,76,False
2019-10-20,1,6,27,29,86,False
2019-10-27,0,5,27,28,81,False
2019-11-03,0,5,32,35,80,False
2019-11-10,0,3,33,27,84,False
2019-11-17,0,4,30,29,88,False
2019-11-24,0,4,24,27,62,False
2019-12-01,0,3,32,29,89,False
2019-12-08,0,3,29,27,86,False
2019-12-15,0,3,27,24,65,False
2019-12-22,0,2,30,20,62,False
2019-12-29,0,3,29,23,70,False
2020-01-05,0,2,39,36,72,False
2020-01-12,0,3,38,34,66,False
2020-01-19,0,2,47,34,67,False
2020-01-26,0,6,34,32,76,False
2020-02-02,0,3,38,32,84,False
2020-02-09,0,4,31,37,82,False
2020-02-16,0,6,42,37,76,False
2020-02-23,0,3,35,36,86,False
2020-03-01,0,9,38,27,77,False
2020-03-08,0,6,27,26,66,False
2020-03-15,0,12,32,20,62,False
2020-03-22,0,5,25,26,64,False
2020-03-29,0,5,23,16,70,False
2020-04-05,0,5,21,22,90,False
2020-04-12,0,3,26,20,75,False
2020-04-19,0,6,20,21,87,False
2020-04-26,0,7,23,20,83,False
2020-05-03,0,3,27,22,77,False
2020-05-10,0,2,32,24,66,False
2020-05-17,0,2,26,27,71,False
2020-05-24,0,4,21,20,69,False
2020-05-31,0,4,26,29,59,False
2020-06-07,0,4,22,25,63,False
2020-06-14,0,4,24,24,69,False
2020-06-21,1,5,29,26,79,False
2020-06-28,0,2,30,25,65,False
2020-07-05,0,2,26,27,69,False
2020-07-12,0,5,31,27,75,False
2020-07-19,0,3,29,31,80,False
2020-07-26,0,2,33,30,60,False
2020-08-02,0,4,31,22,71,False
2020-08-09,0,3,27,33,78,False
2020-08-16,0,4,34,27,82,False
2020-08-23,0,4,28,26,70,False
2020-08-30,0,4,24,25,74,False
2020-09-06,0,2,31,19,65,False
2020-09-13,0,4,26,25,76,False
2020-09-20,0,3,31,25,88,False
2020-09-27,0,5,29,28,81,False
2020-10-04,0,4,31,33,79,False
2020-10-11,0,4,32,22,81,False
2020-10-18,0,3,22,24,86,False
2020-10-25,0,3,34,26,74,False
2020-11-01,0,3,25,26,63,False
2020-11-08,0,4,32,24,80,False
2020-11-15,1,2,27,19,90,False
2020-11-22,0,3,26,20,68,False
2020-11-29,0,3,36,21,76,False
2020-12-06,0,7,24,20,76,False
2020-12-13,0,1,27,24,73,False
2020-12-20,0,2,20,23,51,False
2020-12-27,0,3,22,24,54,False
2021-01-03,0,5,32,29,55,False
2021-01-10,0,5,34,27,69,False
2021-01-17,0,1,35,26,68,False
2021-01-24,0,5,30,23,80,False
2021-01-31,0,4,27,31,77,False
2021-02-07,0,3,30,31,82,False
2021-02-14,0,3,24,28,76,False
2021-02-21,1,4,26,33,90,False
2021-02-28,0,4,37,29,95,False
2021-03-07,0,3,29,29,79,False
2021-03-14,0,4,28,26,64,False
2021-03-21,0,4,34,28,78,False
2021-03-28,0,5,27,24,70,False
2021-04-04,0,2,28,24,77,False
2021-04-11,0,3,26,32,86,False
2021-04-18,0,3,26,29,75,False
2021-04-25,0,4,30,26,75,False
2021-05-02,0,2,29,31,76,False
2021-05-09,0,1,26,29,65,False
2021-05-16,0,5,32,26,66,False
2021-05-23,0,3,27,24,77,False
2021-05-30,0,3,28,24,58,False
2021-06-06,0,4,32,33,77,False
2021-06-13,0,2,25,25,70,False
2021-06-20,0,4,24,21,71,False
2021-06-27,0,4,34,25,68,False
2021-07-04,0,5,26,20,71,False
2021-07-11,1,1,34,19,66,False
2021-07-18,0,0,27,23,60,False
2021-07-25,0,3,26,28,63,False
2021-08-01,0,3,27,30,63,False
2021-08-08,0,2,28,29,64,False
2021-08-15,0,3,24,20,68,False
2021-08-22,0,1,25,33,61,False
2021-08-29,0,2,23,22,66,False
2021-09-05,0,8,26,20,63,False
2021-09-12,0,3,25,23,73,False
2021-09-19,0,7,27,22,75,False
2021-09-26,0,5,24,19,79,False
2021-10-03,0,5,22,28,80,False
2021-10-10,1,3,34,23,73,False
2021-10-17,0,3,28,26,90,False
2021-10-24,0,3,34,26,77,False
2021-10-31,0,4,21,19,64,False
2021-11-07,0,4,25,24,73,False
2021-11-14,0,3,25,21,68,False
2021-11-21,0,4,24,22,63,False
2021-11-28,0,2,37,23,85,False
2021-12-05,0,2,27,23,76,False
2021-12-12,0,2,20,22,71,False
2021-12-19,0,1,25,20,66,False
2021-12-26,0,1,25,13,57,False
2022-01-02,0,2,27,19,54,False
2022-01-09,0,3,30,18,76,False
2022-01-16,0,1,31,27,82,False
2022-01-23,0,1,31,29,74,False
2022-01-30,0,6,34,36,80,False
2022-02-06,0,3,28,29,78,False
2022-02-13,0,6,30,28,74,False
2022-02-20,0,5,27,22,83,False
2022-02-27,0,4,36,28,80,False
2022-03-06,1,2,35,26,82,False
2022-03-13,0,2,32,20,86,False
2022-03-20,0,4,37,28,68,False
2022-03-27,0,3,36,24,68,False
2022-04-03,0,5,31,28,85,False
2022-04-10,0,3,35,26,77,False
2022-04-17,1,6,32,28,88,False
2022-04-24,0,4,30,24,82,False
2022-05-01,1,5,40,22,69,False
2022-05-08,0,5,28,19,75,False
2022-05-15,0,5,34,22,72,False
2022-05-22,0,0,20,22,54,True
