date,hypoglycemia,insulin reaction,insulin shock,neuropathy,diabetes causes,isPartial
2021-08-29,29,1,1,76,8,False
2021-09-05,29,0,1,78,8,False
2021-09-12,30,0,1,84,9,False
2021-09-19,29,1,1,86,9,False
2021-09-26,32,1,1,86,9,False
2021-10-03,31,1,1,81,10,False
2021-10-10,31,1,1,83,9,False
2021-10-17,31,1,1,81,11,False
2021-10-24,31,1,1,85,9,False
2021-10-31,28,1,1,84,8,False
2021-11-07,29,1,1,80,9,False
2021-11-14,30,1,1,88,8,False
2021-11-21,25,0,1,70,7,False
2021-11-28,28,0,1,76,10,False
2021-12-05,29,0,1,84,9,False
2021-12-12,27,0,1,78,8,False
2021-12-19,23,0,1,64,8,False
2021-12-26,22,0,0,72,7,False
2022-01-02,23,0,0,74,6,False
2022-01-09,25,1,1,85,9,False
2022-01-16,28,1,0,81,10,False
2022-01-23,30,0,1,85,9,False
2022-01-30,32,1,1,90,10,False
2022-02-06,32,1,1,90,9,False
2022-02-13,34,1,0,87,9,False
2022-02-20,30,0,0,89,10,False
2022-02-27,32,0,0,86,10,False
2022-03-06,31,1,1,88,10,False
2022-03-13,30,1,1,91,10,False
2022-03-20,31,0,1,94,8,False
2022-03-27,33,0,1,91,8,False
2022-04-03,33,1,1,93,10,False
2022-04-10,31,0,0,89,9,False
2022-04-17,33,1,0,97,10,False
2022-04-24,31,1,0,93,10,False
2022-05-01,30,0,1,90,8,False
2022-05-08,28,0,1,91,9,False
2022-05-15,29,0,0,94,9,False
2022-05-22,19,0,0,83,6,True
