date,artificial pancreas,Aspart,Avandia,bariatric surgery,diabetes causes,isPartial
2021-05-09,1,8,0,93,23,False
2021-05-16,0,8,1,89,23,False
2021-05-23,1,10,1,89,27,False
2021-05-30,1,9,1,85,21,False
2021-06-06,0,8,1,88,27,False
2021-06-13,0,7,1,93,25,False
2021-06-20,1,6,1,83,25,False
2021-06-27,0,8,1,88,24,False
2021-07-04,1,8,1,83,25,False
2021-07-11,1,6,0,89,23,False
2021-07-18,1,7,1,87,21,False
2021-07-25,1,7,0,81,22,False
2021-08-01,1,7,0,82,22,False
2021-08-08,0,7,1,83,22,False
2021-08-15,0,7,0,80,24,False
2021-08-22,0,8,1,81,22,False
2021-08-29,0,8,1,86,23,False
2021-09-05,1,8,1,75,22,False
2021-09-12,0,9,1,77,26,False
2021-09-19,1,9,1,74,27,False
2021-09-26,1,7,1,82,28,False
2021-10-03,0,8,1,76,28,False
2021-10-10,1,11,0,85,26,False
2021-10-17,0,9,1,84,32,False
2021-10-24,1,9,1,91,27,False
2021-10-31,0,8,0,81,23,False
2021-11-07,1,6,1,91,26,False
2021-11-14,1,9,1,89,24,False
2021-11-21,1,6,1,71,22,False
2021-11-28,0,11,1,84,30,False
2021-12-05,1,7,1,83,27,False
2021-12-12,0,8,1,80,25,False
2021-12-19,1,7,1,62,23,False
2021-12-26,1,7,1,75,20,False
2022-01-02,0,7,0,84,19,False
2022-01-09,1,7,1,78,27,False
2022-01-16,1,10,0,77,29,False
2022-01-23,1,10,1,89,26,False
2022-01-30,1,8,1,89,28,False
2022-02-06,0,11,1,92,28,False
2022-02-13,0,7,1,85,26,False
2022-02-20,1,9,0,85,29,False
2022-02-27,1,8,1,92,28,False
2022-03-06,1,10,0,84,29,False
2022-03-13,0,9,1,80,30,False
2022-03-20,0,11,1,100,24,False
2022-03-27,1,9,1,88,24,False
2022-04-03,0,8,0,87,30,False
2022-04-10,0,9,1,82,27,False
2022-04-17,1,8,1,86,31,False
2022-04-24,0,8,1,96,29,False
2022-05-01,1,9,0,87,24,False
2022-05-08,0,8,1,89,26,False
2022-05-15,0,9,1,83,25,False
2022-05-22,0,0,0,0,0,True
