date,continuous glucose monitoring systems,c-peptide test,fasting glucose,fasting plasma glucose,diabetes causes,isPartial
2021-11-28,0,1,78,0,82,False
2021-12-05,0,1,74,2,73,False
2021-12-12,0,4,70,1,68,False
2021-12-19,0,2,62,1,64,False
2021-12-26,0,0,44,0,55,False
2022-01-02,1,1,53,1,52,False
2022-01-09,0,1,79,1,73,False
2022-01-16,0,1,71,1,79,False
2022-01-23,0,2,80,3,71,False
2022-01-30,0,1,82,1,77,False
2022-02-06,0,3,100,2,76,False
2022-02-13,0,1,91,3,72,False
2022-02-20,0,0,75,1,80,False
2022-02-27,0,1,86,0,77,False
2022-03-06,0,1,81,1,79,False
2022-03-13,0,0,82,2,83,False
2022-03-20,0,0,87,2,65,False
2022-03-27,0,0,86,3,66,False
2022-04-03,0,0,86,3,82,False
2022-04-10,0,0,78,3,74,False
2022-04-17,0,2,90,2,85,False
2022-04-24,0,1,82,2,79,False
2022-05-01,1,3,79,3,66,False
2022-05-08,0,1,79,0,72,False
2022-05-15,0,0,65,1,69,False
2022-05-22,0,0,0,0,0,True
