date,ESRD,foot ulcers,gangrene,gastroparesis,diabetes causes,isPartial
2021-04-25,25,4,40,66,32,False
2021-05-02,24,4,50,82,32,False
2021-05-09,24,4,38,79,27,False
2021-05-16,27,3,36,78,28,False
2021-05-23,23,3,42,76,32,False
2021-05-30,22,3,35,69,25,False
2021-06-06,25,3,45,76,32,False
2021-06-13,25,3,51,67,29,False
2021-06-20,26,3,36,77,30,False
2021-06-27,23,3,43,72,29,False
2021-07-04,24,3,50,75,30,False
2021-07-11,26,3,41,80,28,False
2021-07-18,24,3,46,72,25,False
2021-07-25,25,3,41,73,27,False
2021-08-01,26,4,43,83,26,False
2021-08-08,21,4,38,73,27,False
2021-08-15,21,3,40,73,29,False
2021-08-22,21,3,43,73,26,False
2021-08-29,20,3,36,69,28,False
2021-09-05,26,4,45,67,27,False
2021-09-12,23,4,44,65,31,False
2021-09-19,25,3,44,63,32,False
2021-09-26,27,4,40,68,33,False
2021-10-03,29,3,39,69,34,False
2021-10-10,27,4,46,75,31,False
2021-10-17,26,3,42,66,38,False
2021-10-24,27,3,39,67,33,False
2021-10-31,28,5,43,72,27,False
2021-11-07,29,5,51,65,31,False
2021-11-14,26,2,47,76,29,False
2021-11-21,19,3,38,61,27,False
2021-11-28,27,3,48,66,36,False
2021-12-05,27,4,57,65,32,False
2021-12-12,20,2,45,68,30,False
2021-12-19,18,3,46,60,28,False
2021-12-26,16,2,38,80,24,False
2022-01-02,22,3,44,83,23,False
2022-01-09,27,3,46,63,32,False
2022-01-16,22,3,43,69,35,False
2022-01-23,28,4,67,72,31,False
2022-01-30,30,3,59,72,34,False
2022-02-06,28,4,50,77,33,False
2022-02-13,27,3,49,75,31,False
2022-02-20,29,3,49,74,35,False
2022-02-27,29,2,48,76,34,False
2022-03-06,29,4,49,80,35,False
2022-03-13,30,3,42,75,36,False
2022-03-20,26,3,45,74,29,False
2022-03-27,30,3,47,81,29,False
2022-04-03,26,3,46,77,36,False
2022-04-10,22,3,45,82,33,False
2022-04-17,25,3,45,82,37,False
2022-04-24,23,4,42,71,35,False
2022-05-01,23,3,44,75,29,False
2022-05-08,20,3,45,74,31,False
2022-05-15,23,3,46,73,30,False
2022-05-22,14,6,28,72,23,True
