date,diabetes risk factors,glycosuria,hirsutism,hyperandrogenism,diabetes causes,isPartial
2018-07-29,3,7,33,7,67,False
2018-08-05,4,5,33,1,62,False
2018-08-12,9,6,36,4,62,False
2018-08-19,6,4,37,4,62,False
2018-08-26,7,5,35,5,66,False
2018-09-02,8,8,33,3,64,False
2018-09-09,11,6,41,4,65,False
2018-09-16,14,6,51,1,87,False
2018-09-23,16,9,38,5,73,False
2018-09-30,20,4,36,5,85,False
2018-10-07,10,8,46,1,84,False
2018-10-14,15,7,36,4,75,False
2018-10-21,16,8,41,5,78,False
2018-10-28,16,7,41,4,85,False
2018-11-04,18,8,35,4,82,False
2018-11-11,19,9,42,4,85,False
2018-11-18,11,5,34,1,83,False
2018-11-25,16,8,40,6,91,False
2018-12-02,18,11,41,2,89,False
2018-12-09,14,9,38,3,82,False
2018-12-16,9,6,27,5,77,False
2018-12-23,3,2,20,4,61,False
2018-12-30,7,2,29,2,74,False
2019-01-06,9,6,25,3,67,False
2019-01-13,9,3,39,4,78,False
2019-01-20,6,6,37,4,74,False
2019-01-27,16,8,48,2,84,False
2019-02-03,11,5,37,3,82,False
2019-02-10,11,8,33,5,81,False
2019-02-17,16,9,39,10,89,False
2019-02-24,14,9,40,5,78,False
2019-03-03,18,11,33,4,91,False
2019-03-10,13,5,42,5,86,False
2019-03-17,14,8,38,7,94,False
2019-03-24,13,8,41,5,85,False
2019-03-31,14,12,41,2,85,False
2019-04-07,16,9,34,2,97,False
2019-04-14,14,13,38,5,84,False
2019-04-21,16,9,40,2,95,False
2019-04-28,12,8,32,22,85,False
2019-05-05,13,6,36,9,100,False
2019-05-12,13,7,38,2,83,False
2019-05-19,6,5,35,4,67,False
2019-05-26,9,7,43,4,74,False
2019-06-02,11,5,35,6,68,False
2019-06-09,9,8,46,4,63,False
2019-06-16,8,3,43,3,73,False
2019-06-23,7,5,37,2,65,False
2019-06-30,7,6,34,2,57,False
2019-07-07,7,3,38,2,68,False
2019-07-14,9,5,37,4,67,False
2019-07-21,8,9,33,1,70,False
2019-07-28,6,5,36,5,58,False
2019-08-04,6,6,43,2,63,False
2019-08-11,5,4,34,2,58,False
2019-08-18,3,3,31,3,59,False
2019-08-25,7,9,29,3,77,False
2019-09-01,6,4,45,3,66,False
2019-09-08,10,4,40,3,72,False
2019-09-15,10,6,34,3,64,False
2019-09-22,14,7,40,3,76,False
2019-09-29,13,8,38,4,91,False
2019-10-06,19,7,43,2,78,False
2019-10-13,17,10,39,3,76,False
2019-10-20,17,6,32,2,86,False
2019-10-27,13,7,39,5,81,False
2019-11-03,18,9,39,4,80,False
2019-11-10,14,7,42,3,84,False
2019-11-17,16,10,31,3,88,False
2019-11-24,9,4,22,2,62,False
2019-12-01,17,11,38,4,89,False
2019-12-08,15,6,40,3,86,False
2019-12-15,11,5,28,2,65,False
2019-12-22,4,3,24,1,62,False
2019-12-29,4,4,27,1,70,False
2020-01-05,8,3,26,4,72,False
2020-01-12,9,3,36,3,66,False
2020-01-19,14,5,38,4,67,False
2020-01-26,14,7,37,4,76,False
2020-02-02,16,9,37,3,84,False
2020-02-09,16,6,40,3,82,False
2020-02-16,12,8,47,5,76,False
2020-02-23,12,8,41,4,86,False
2020-03-01,12,8,39,4,77,False
2020-03-08,13,8,32,1,66,False
2020-03-15,11,7,24,1,62,False
2020-03-22,16,7,31,1,64,False
2020-03-29,19,7,36,4,70,False
2020-04-05,18,6,33,3,90,False
2020-04-12,16,8,40,6,75,False
2020-04-19,24,8,44,4,87,False
2020-04-26,17,8,37,3,83,False
2020-05-03,13,8,46,3,77,False
2020-05-10,15,8,41,1,66,False
2020-05-17,9,8,40,3,71,False
2020-05-24,10,5,30,5,69,False
2020-05-31,8,3,37,4,59,False
