date,diabetes and depression,diabetes impotence,about diabetes,diabetes recipes,diabetes causes,isPartial
2019-10-06,3,1,44,19,78,False
2019-10-13,4,0,36,16,76,False
2019-10-20,3,0,37,25,86,False
2019-10-27,3,1,43,12,81,False
2019-11-03,5,1,44,18,80,False
2019-11-10,4,0,45,24,84,False
2019-11-17,4,1,56,15,88,False
2019-11-24,3,1,22,16,62,False
2019-12-01,3,0,34,13,89,False
2019-12-08,3,2,27,13,86,False
2019-12-15,4,1,26,15,65,False
2019-12-22,5,2,16,16,62,False
2019-12-29,2,2,18,21,70,False
2020-01-05,2,0,27,22,72,False
2020-01-12,4,1,28,22,66,False
2020-01-19,2,1,27,17,67,False
2020-01-26,6,1,37,16,76,False
2020-02-02,2,1,36,20,84,False
2020-02-09,6,0,37,17,82,False
2020-02-16,4,1,38,23,76,False
2020-02-23,5,1,44,16,86,False
2020-03-01,4,1,41,17,77,False
2020-03-08,4,0,36,14,66,False
2020-03-15,3,0,31,10,62,False
2020-03-22,3,1,35,12,64,False
2020-03-29,2,0,44,11,70,False
2020-04-05,5,2,42,14,90,False
2020-04-12,4,0,44,12,75,False
2020-04-19,3,1,40,17,87,False
2020-04-26,1,0,39,16,83,False
2020-05-03,4,1,38,18,77,False
2020-05-10,3,1,31,18,66,False
2020-05-17,3,0,32,19,71,False
2020-05-24,4,1,28,13,69,False
2020-05-31,4,0,26,13,59,False
2020-06-07,4,1,25,22,63,False
2020-06-14,3,0,34,17,69,False
2020-06-21,4,0,27,16,79,False
2020-06-28,2,1,24,19,65,False
2020-07-05,5,0,25,17,69,False
2020-07-12,1,1,26,21,75,False
2020-07-19,3,0,31,17,80,False
2020-07-26,1,2,25,20,60,False
2020-08-02,4,2,17,13,71,False
2020-08-09,5,2,23,23,78,False
2020-08-16,3,0,23,16,82,False
2020-08-23,3,0,24,15,70,False
2020-08-30,4,1,33,13,74,False
2020-09-06,3,1,33,14,65,False
2020-09-13,4,1,42,13,76,False
2020-09-20,4,1,43,15,88,False
2020-09-27,3,0,46,14,81,False
2020-10-04,4,1,43,20,79,False
2020-10-11,5,1,44,14,81,False
2020-10-18,4,1,45,15,86,False
2020-10-25,4,1,40,20,74,False
2020-11-01,3,0,36,12,63,False
2020-11-08,7,0,48,15,80,False
2020-11-15,7,0,54,23,90,False
2020-11-22,4,1,31,13,68,False
2020-11-29,3,0,38,11,76,False
2020-12-06,6,0,40,11,76,False
2020-12-13,3,0,25,16,73,False
2020-12-20,3,0,12,20,51,False
2020-12-27,1,0,15,21,54,False
2021-01-03,2,0,14,16,55,False
2021-01-10,2,0,21,18,69,False
2021-01-17,2,1,26,16,68,False
2021-01-24,3,0,37,22,80,False
2021-01-31,2,1,37,22,77,False
2021-02-07,4,0,36,16,82,False
2021-02-14,3,1,35,18,76,False
2021-02-21,4,1,45,19,90,False
2021-02-28,3,0,38,17,95,False
2021-03-07,3,0,36,12,79,False
2021-03-14,2,1,44,15,64,False
2021-03-21,3,0,39,15,78,False
2021-03-28,2,2,33,19,70,False
2021-04-04,2,1,35,22,77,False
2021-04-11,3,0,42,17,86,False
2021-04-18,5,0,40,17,75,False
2021-04-25,3,3,40,19,75,False
2021-05-02,6,2,43,16,76,False
2021-05-09,4,1,37,14,65,False
2021-05-16,2,1,34,14,66,False
2021-05-23,3,1,29,14,77,False
2021-05-30,3,1,20,15,58,False
2021-06-06,7,0,22,16,77,False
2021-06-13,5,0,24,19,70,False
2021-06-20,2,1,29,13,71,False
2021-06-27,2,0,19,21,68,False
2021-07-04,1,0,16,14,71,False
2021-07-11,3,0,37,14,66,False
2021-07-18,3,0,25,18,60,False
2021-07-25,2,0,30,16,63,False
2021-08-01,2,1,32,16,63,False
2021-08-08,3,0,18,18,64,False
2021-08-15,3,0,25,19,68,False
2021-08-22,2,1,28,15,61,False
2021-08-29,5,1,18,16,66,False
2021-09-05,3,0,26,13,63,False
2021-09-12,5,0,38,16,73,False
2021-09-19,3,0,41,13,75,False
2021-09-26,5,1,46,13,79,False
2021-10-03,1,0,37,16,80,False
2021-10-10,5,1,38,13,73,False
2021-10-17,3,0,45,19,90,False
2021-10-24,4,0,33,16,77,False
2021-10-31,5,2,33,17,64,False
2021-11-07,3,1,45,16,73,False
2021-11-14,8,0,52,19,68,False
2021-11-21,4,0,24,13,63,False
2021-11-28,7,0,46,15,85,False
2021-12-05,3,0,41,13,76,False
2021-12-12,6,1,23,14,71,False
2021-12-19,1,2,12,16,66,False
2021-12-26,2,1,13,18,57,False
2022-01-02,3,0,21,19,54,False
2022-01-09,1,1,19,14,76,False
2022-01-16,3,0,21,15,82,False
2022-01-23,6,0,33,21,74,False
2022-01-30,5,1,33,17,80,False
2022-02-06,4,0,32,14,78,False
2022-02-13,3,0,43,16,74,False
2022-02-20,3,0,38,13,83,False
2022-02-27,6,1,36,16,80,False
2022-03-06,3,1,39,17,82,False
2022-03-13,5,0,35,19,86,False
2022-03-20,2,0,34,18,68,False
2022-03-27,5,0,42,18,68,False
2022-04-03,4,1,42,18,85,False
2022-04-10,5,1,35,15,77,False
2022-04-17,4,0,48,18,88,False
2022-04-24,3,0,36,13,82,False
2022-05-01,5,1,37,17,69,False
2022-05-08,4,0,32,16,75,False
2022-05-15,5,1,30,13,72,False
2022-05-22,0,0,0,0,0,True
