date,normal blood glucose levels,normal glucose tolerance,oral glucose challenge,Oral glucose tolerance test,diabetes causes,isPartial
2019-12-08,15,2,0,0,86,False
2019-12-15,17,1,0,1,65,False
2019-12-22,11,1,0,0,62,False
2019-12-29,13,3,0,1,70,False
2020-01-05,19,4,0,1,72,False
2020-01-12,18,2,0,2,66,False
2020-01-19,20,2,0,2,67,False
2020-01-26,17,3,0,0,76,False
2020-02-02,25,4,0,1,84,False
2020-02-09,20,2,0,1,82,False
2020-02-16,21,4,0,2,76,False
2020-02-23,17,4,0,3,86,False
2020-03-01,18,4,0,3,77,False
2020-03-08,17,3,0,2,66,False
2020-03-15,10,3,0,2,62,False
2020-03-22,16,2,0,2,64,False
2020-03-29,25,1,0,4,70,False
2020-04-05,25,5,0,3,90,False
2020-04-12,21,2,0,1,75,False
2020-04-19,22,2,0,2,87,False
2020-04-26,23,4,0,2,83,False
2020-05-03,19,2,0,3,77,False
2020-05-10,14,2,0,1,66,False
2020-05-17,14,2,0,2,71,False
2020-05-24,20,3,0,1,69,False
2020-05-31,19,3,0,3,59,False
2020-06-07,19,3,0,2,63,False
2020-06-14,22,3,0,2,69,False
2020-06-21,19,4,0,2,79,False
2020-06-28,18,1,0,2,65,False
2020-07-05,21,3,0,2,69,False
2020-07-12,24,3,0,2,75,False
2020-07-19,20,2,0,1,80,False
2020-07-26,11,2,0,1,60,False
2020-08-02,16,2,0,1,71,False
2020-08-09,15,3,0,2,78,False
2020-08-16,20,4,0,2,82,False
2020-08-23,15,4,0,2,70,False
2020-08-30,27,3,0,3,74,False
2020-09-06,15,2,0,3,65,False
2020-09-13,30,3,0,2,76,False
2020-09-20,26,4,0,2,88,False
2020-09-27,28,3,0,4,81,False
2020-10-04,29,2,0,2,79,False
2020-10-11,26,3,0,3,81,False
2020-10-18,31,3,0,5,86,False
2020-10-25,25,1,0,3,74,False
2020-11-01,22,1,0,3,63,False
2020-11-08,26,2,0,2,80,False
2020-11-15,29,2,0,4,90,False
2020-11-22,19,3,0,3,68,False
2020-11-29,24,3,0,2,76,False
2020-12-06,25,1,0,2,76,False
2020-12-13,17,3,0,4,73,False
2020-12-20,11,1,0,0,51,False
2020-12-27,12,2,0,0,54,False
2021-01-03,15,2,0,2,55,False
2021-01-10,23,1,0,2,69,False
2021-01-17,19,1,0,3,68,False
2021-01-24,23,3,0,1,80,False
2021-01-31,29,1,0,3,77,False
2021-02-07,28,2,0,3,82,False
2021-02-14,26,3,0,3,76,False
2021-02-21,29,6,0,4,90,False
2021-02-28,26,4,0,4,95,False
2021-03-07,29,4,0,2,79,False
2021-03-14,29,2,0,1,64,False
2021-03-21,24,2,0,2,78,False
2021-03-28,26,3,0,2,70,False
2021-04-04,25,4,0,3,77,False
2021-04-11,28,1,0,3,86,False
2021-04-18,27,4,0,3,75,False
2021-04-25,21,2,0,2,75,False
2021-05-02,22,2,0,2,76,False
2021-05-09,21,3,0,1,65,False
2021-05-16,26,2,0,2,66,False
2021-05-23,19,0,0,1,77,False
2021-05-30,10,3,0,0,58,False
2021-06-06,24,2,0,1,77,False
2021-06-13,25,3,0,1,70,False
2021-06-20,15,1,0,2,71,False
2021-06-27,18,2,0,1,68,False
2021-07-04,20,2,0,1,71,False
2021-07-11,26,3,0,3,66,False
2021-07-18,23,1,0,1,60,False
2021-07-25,21,2,0,2,63,False
2021-08-01,23,0,0,2,63,False
2021-08-08,22,0,0,1,64,False
2021-08-15,22,3,0,0,68,False
2021-08-22,21,1,0,1,61,False
2021-08-29,19,1,0,1,66,False
2021-09-05,22,1,0,2,63,False
2021-09-12,28,1,0,1,73,False
2021-09-19,26,3,0,1,75,False
2021-09-26,21,2,0,1,79,False
2021-10-03,29,3,0,2,80,False
2021-10-10,25,1,0,3,73,False
2021-10-17,25,1,0,1,90,False
2021-10-24,27,2,0,1,77,False
2021-10-31,27,2,0,2,64,False
2021-11-07,24,4,0,1,73,False
2021-11-14,28,6,0,5,68,False
2021-11-21,19,3,0,2,63,False
2021-11-28,27,3,0,2,85,False
2021-12-05,25,2,0,1,76,False
2021-12-12,25,1,0,1,71,False
2021-12-19,6,2,0,1,66,False
2021-12-26,12,1,0,0,57,False
2022-01-02,17,2,0,1,54,False
2022-01-09,24,2,0,3,76,False
2022-01-16,18,2,0,0,82,False
2022-01-23,23,4,0,0,74,False
2022-01-30,25,3,0,3,80,False
2022-02-06,27,3,0,1,78,False
2022-02-13,27,2,0,1,74,False
2022-02-20,29,1,0,2,83,False
2022-02-27,21,2,0,2,80,False
2022-03-06,23,5,0,2,82,False
2022-03-13,23,1,0,3,86,False
2022-03-20,27,3,0,2,68,False
2022-03-27,30,4,0,1,68,False
2022-04-03,23,4,0,2,85,False
2022-04-10,20,4,0,2,77,False
2022-04-17,28,5,0,2,88,False
2022-04-24,27,3,0,1,82,False
2022-05-01,22,4,0,4,69,False
2022-05-08,22,3,0,5,75,False
2022-05-15,21,4,0,2,72,False
2022-05-22,0,0,0,0,0,True
