date,weight gain,diabetes causes,isPartial
2020-01-26,76,3,False
2020-02-02,78,4,False
2020-02-09,77,3,False
2020-02-16,83,3,False
2020-02-23,81,4,False
2020-03-01,79,3,False
2020-03-08,67,3,False
2020-03-15,51,3,False
2020-03-22,56,3,False
2020-03-29,60,3,False
2020-04-05,69,4,False
2020-04-12,73,3,False
2020-04-19,82,4,False
2020-04-26,91,4,False
2020-05-03,88,3,False
2020-05-10,88,3,False
2020-05-17,91,3,False
2020-05-24,96,3,False
2020-05-31,79,3,False
2020-06-07,96,3,False
2020-06-14,94,3,False
2020-06-21,97,3,False
2020-06-28,89,3,False
2020-07-05,87,3,False
2020-07-12,89,3,False
2020-07-19,88,3,False
2020-07-26,81,3,False
2020-08-02,80,3,False
2020-08-09,82,3,False
2020-08-16,79,3,False
2020-08-23,76,3,False
2020-08-30,77,3,False
2020-09-06,75,3,False
2020-09-13,79,3,False
2020-09-20,78,4,False
2020-09-27,74,3,False
2020-10-04,75,3,False
2020-10-11,78,3,False
2020-10-18,76,4,False
2020-10-25,68,3,False
2020-11-01,58,3,False
2020-11-08,71,3,False
2020-11-15,72,4,False
2020-11-22,68,3,False
2020-11-29,72,3,False
2020-12-06,70,3,False
2020-12-13,70,3,False
2020-12-20,67,2,False
2020-12-27,76,2,False
2021-01-03,89,2,False
2021-01-10,87,3,False
2021-01-17,85,3,False
2021-01-24,90,3,False
2021-01-31,88,3,False
2021-02-07,86,3,False
2021-02-14,83,3,False
2021-02-21,97,4,False
2021-02-28,94,4,False
2021-03-07,92,3,False
2021-03-14,84,3,False
2021-03-21,86,3,False
2021-03-28,86,3,False
2021-04-04,93,3,False
2021-04-11,88,4,False
2021-04-18,80,3,False
2021-04-25,86,3,False
2021-05-02,88,3,False
2021-05-09,84,3,False
2021-05-16,90,3,False
2021-05-23,89,3,False
2021-05-30,84,2,False
2021-06-06,89,3,False
2021-06-13,86,3,False
2021-06-20,86,3,False
2021-06-27,89,3,False
2021-07-04,79,3,False
2021-07-11,92,3,False
2021-07-18,85,3,False
2021-07-25,82,3,False
2021-08-01,81,3,False
2021-08-08,78,3,False
2021-08-15,76,3,False
2021-08-22,74,3,False
2021-08-29,71,3,False
2021-09-05,71,3,False
2021-09-12,71,3,False
2021-09-19,74,3,False
2021-09-26,75,3,False
2021-10-03,75,3,False
2021-10-10,75,3,False
2021-10-17,71,4,False
2021-10-24,69,3,False
2021-10-31,71,3,False
2021-11-07,72,3,False
2021-11-14,70,3,False
2021-11-21,65,3,False
2021-11-28,71,4,False
2021-12-05,71,3,False
2021-12-12,68,3,False
2021-12-19,65,3,False
2021-12-26,68,2,False
2022-01-02,78,2,False
2022-01-09,84,3,False
2022-01-16,77,3,False
2022-01-23,78,3,False
2022-01-30,79,3,False
2022-02-06,83,3,False
2022-02-13,79,3,False
2022-02-20,85,4,False
2022-02-27,82,3,False
2022-03-06,87,3,False
2022-03-13,84,4,False
2022-03-20,84,3,False
2022-03-27,87,3,False
2022-04-03,100,4,False
2022-04-10,86,3,False
2022-04-17,86,4,False
2022-04-24,81,4,False
2022-05-01,85,3,False
2022-05-08,83,3,False
2022-05-15,85,3,False
2022-05-22,77,2,True
