date,Cystic fibrosis–related DM,diabetes quality of life,diabetes study,fulminant diabetes,diabetes causes,isPartial
2019-11-24,0,0,7,0,62,False
2019-12-01,0,0,10,0,89,False
2019-12-08,0,1,10,0,86,False
2019-12-15,0,0,6,0,65,False
2019-12-22,0,0,5,0,62,False
2019-12-29,0,0,5,0,70,False
2020-01-05,0,1,9,0,72,False
2020-01-12,0,0,9,0,66,False
2020-01-19,0,1,10,0,67,False
2020-01-26,0,1,11,0,76,False
2020-02-02,0,0,11,0,84,False
2020-02-09,0,1,17,0,82,False
2020-02-16,0,0,11,0,76,False
2020-02-23,0,2,15,0,86,False
2020-03-01,0,0,11,0,77,False
2020-03-08,0,1,9,0,66,False
2020-03-15,0,0,9,0,62,False
2020-03-22,0,1,10,0,64,False
2020-03-29,0,1,12,0,70,False
2020-04-05,0,1,11,0,90,False
2020-04-12,0,0,14,0,75,False
2020-04-19,0,1,12,0,87,False
2020-04-26,0,1,10,0,83,False
2020-05-03,0,0,14,0,77,False
2020-05-10,0,1,9,0,66,False
2020-05-17,0,1,7,0,71,False
2020-05-24,0,0,10,0,69,False
2020-05-31,0,0,11,0,59,False
2020-06-07,0,1,7,0,63,False
2020-06-14,0,1,8,0,69,False
2020-06-21,0,0,12,0,79,False
2020-06-28,0,0,7,0,65,False
2020-07-05,0,1,9,0,69,False
2020-07-12,0,0,11,0,75,False
2020-07-19,0,0,10,0,80,False
2020-07-26,0,0,8,0,60,False
2020-08-02,0,0,7,0,71,False
2020-08-09,0,2,8,0,78,False
2020-08-16,0,1,6,0,82,False
2020-08-23,0,0,10,0,70,False
2020-08-30,0,1,12,0,74,False
2020-09-06,0,0,12,0,65,False
2020-09-13,0,1,13,0,76,False
2020-09-20,0,1,17,0,88,False
2020-09-27,0,0,12,0,81,False
2020-10-04,0,1,14,0,79,False
2020-10-11,0,0,14,0,81,False
2020-10-18,0,0,13,0,86,False
2020-10-25,0,1,10,0,74,False
2020-11-01,0,1,10,0,63,False
2020-11-08,0,0,11,0,80,False
2020-11-15,0,0,11,0,90,False
2020-11-22,0,0,9,0,68,False
2020-11-29,0,0,16,0,76,False
2020-12-06,0,0,8,0,76,False
2020-12-13,0,0,9,0,73,False
2020-12-20,0,0,5,0,51,False
2020-12-27,0,0,4,0,54,False
2021-01-03,0,0,7,0,55,False
2021-01-10,0,1,8,0,69,False
2021-01-17,0,0,8,0,68,False
2021-01-24,0,1,14,0,80,False
2021-01-31,0,0,12,0,77,False
2021-02-07,0,0,12,0,82,False
2021-02-14,0,0,10,0,76,False
2021-02-21,0,0,13,0,90,False
2021-02-28,0,2,14,0,95,False
2021-03-07,0,0,9,0,79,False
2021-03-14,0,2,11,0,64,False
2021-03-21,0,0,6,0,78,False
2021-03-28,0,1,7,0,70,False
2021-04-04,0,1,10,0,77,False
2021-04-11,0,1,10,0,86,False
2021-04-18,0,0,14,0,75,False
2021-04-25,0,0,10,0,75,False
2021-05-02,0,0,12,0,76,False
2021-05-09,0,0,9,0,65,False
2021-05-16,0,1,8,0,66,False
2021-05-23,0,0,10,0,77,False
2021-05-30,0,0,8,0,58,False
2021-06-06,0,0,8,0,77,False
2021-06-13,0,0,8,0,70,False
2021-06-20,0,0,12,0,71,False
2021-06-27,0,0,5,0,68,False
2021-07-04,0,0,5,0,71,False
2021-07-11,0,0,9,0,66,False
2021-07-18,0,0,8,0,60,False
2021-07-25,0,0,10,0,63,False
2021-08-01,0,0,8,0,63,False
2021-08-08,0,0,5,0,64,False
2021-08-15,0,0,4,0,68,False
2021-08-22,0,1,9,0,61,False
2021-08-29,0,0,14,0,66,False
2021-09-05,0,0,10,0,63,False
2021-09-12,0,1,10,0,73,False
2021-09-19,0,0,11,0,75,False
2021-09-26,0,1,13,0,79,False
2021-10-03,0,0,10,0,80,False
2021-10-10,0,1,12,0,73,False
2021-10-17,0,1,7,0,90,False
2021-10-24,0,0,14,0,77,False
2021-10-31,0,1,13,0,64,False
2021-11-07,0,0,14,0,73,False
2021-11-14,0,1,12,0,68,False
2021-11-21,0,1,8,0,63,False
2021-11-28,0,0,11,0,85,False
2021-12-05,0,1,13,0,76,False
2021-12-12,0,1,9,0,71,False
2021-12-19,0,0,7,0,66,False
2021-12-26,0,0,2,0,57,False
2022-01-02,0,0,7,0,54,False
2022-01-09,0,0,11,0,76,False
2022-01-16,0,2,12,0,82,False
2022-01-23,0,1,8,0,74,False
2022-01-30,0,0,13,0,80,False
2022-02-06,0,0,12,0,78,False
2022-02-13,0,2,8,0,74,False
2022-02-20,0,1,11,0,83,False
2022-02-27,0,0,13,0,80,False
2022-03-06,0,0,10,0,82,False
2022-03-13,0,0,10,0,86,False
2022-03-20,0,0,11,0,68,False
2022-03-27,0,0,13,0,68,False
2022-04-03,0,1,12,0,85,False
2022-04-10,0,0,15,0,77,False
2022-04-17,0,1,11,0,88,False
2022-04-24,0,1,11,0,82,False
2022-05-01,0,0,6,0,69,False
2022-05-08,0,0,6,0,75,False
2022-05-15,0,0,8,0,72,False
2022-05-22,0,0,0,0,54,True
