date,cellulitis,diabetes and anorexia,diabetes and female sexual dysfunction,diabetes and nausea,diabetes causes,isPartial
2018-07-08,100,0,0,0,11,False
2018-07-15,91,0,0,1,11,False
2018-07-22,99,0,0,1,11,False
2018-07-29,96,0,0,0,11,False
2018-08-05,96,0,0,1,10,False
2018-08-12,92,0,0,1,10,False
2018-08-19,90,0,0,1,10,False
2018-08-26,91,0,0,0,10,False
2018-09-02,83,0,0,0,10,False
2018-09-09,82,0,0,1,10,False
2018-09-16,87,0,0,1,14,False
2018-09-23,82,0,0,1,12,False
2018-09-30,82,0,0,1,14,False
2018-10-07,79,0,0,0,13,False
2018-10-14,70,0,0,1,12,False
2018-10-21,72,0,0,0,12,False
2018-10-28,69,0,0,1,13,False
2018-11-04,70,0,0,1,13,False
2018-11-11,71,0,0,1,13,False
2018-11-18,71,0,0,1,13,False
2018-11-25,65,0,0,1,14,False
2018-12-02,67,0,0,1,14,False
2018-12-09,62,0,0,0,13,False
2018-12-16,69,0,0,0,12,False
2018-12-23,69,0,0,1,10,False
2018-12-30,69,0,0,0,12,False
2019-01-06,69,0,0,1,11,False
2019-01-13,70,0,0,0,12,False
2019-01-20,69,0,0,1,12,False
2019-01-27,70,0,0,0,13,False
2019-02-03,76,0,0,0,13,False
2019-02-10,69,0,0,0,13,False
2019-02-17,69,0,0,1,14,False
2019-02-24,70,0,0,1,12,False
2019-03-03,70,0,0,0,14,False
2019-03-10,69,0,0,0,14,False
2019-03-17,66,0,0,1,15,False
2019-03-24,73,0,0,1,13,False
2019-03-31,75,0,0,0,13,False
2019-04-07,78,0,0,1,15,False
2019-04-14,73,0,0,1,13,False
2019-04-21,76,0,0,1,15,False
2019-04-28,74,0,0,1,13,False
2019-05-05,75,0,0,0,16,False
2019-05-12,76,0,0,0,13,False
2019-05-19,87,0,0,0,11,False
2019-05-26,93,0,0,0,12,False
2019-06-02,87,0,0,1,11,False
2019-06-09,94,0,0,1,10,False
2019-06-16,94,0,0,1,12,False
2019-06-23,97,0,0,1,10,False
2019-06-30,93,0,0,1,9,False
2019-07-07,99,0,0,1,11,False
2019-07-14,97,0,0,0,11,False
2019-07-21,98,0,0,0,11,False
2019-07-28,94,0,0,1,9,False
2019-08-04,92,0,0,0,10,False
2019-08-11,93,0,0,1,9,False
2019-08-18,93,0,0,0,9,False
2019-08-25,88,0,0,1,12,False
2019-09-01,87,0,0,0,10,False
2019-09-08,87,0,0,0,11,False
2019-09-15,86,0,0,0,10,False
2019-09-22,87,0,0,0,12,False
2019-09-29,84,0,0,1,14,False
2019-10-06,80,0,0,0,12,False
2019-10-13,80,0,0,1,12,False
2019-10-20,78,0,0,1,14,False
2019-10-27,71,0,0,0,13,False
2019-11-03,74,0,0,1,13,False
2019-11-10,69,0,0,1,13,False
2019-11-17,74,0,0,1,14,False
2019-11-24,67,0,0,0,10,False
2019-12-01,68,0,0,0,14,False
2019-12-08,68,0,0,0,14,False
2019-12-15,72,0,0,0,10,False
2019-12-22,75,0,0,1,10,False
2019-12-29,71,0,0,0,11,False
2020-01-05,70,0,0,1,11,False
2020-01-12,69,0,0,0,10,False
2020-01-19,71,0,0,0,11,False
2020-01-26,71,0,0,0,12,False
2020-02-02,71,0,0,1,13,False
2020-02-09,70,0,0,1,13,False
2020-02-16,71,0,0,0,12,False
2020-02-23,73,0,0,1,14,False
2020-03-01,76,0,0,0,12,False
2020-03-08,65,0,0,1,11,False
2020-03-15,58,0,0,1,10,False
2020-03-22,56,0,0,1,10,False
2020-03-29,51,0,0,1,11,False
2020-04-05,58,0,0,1,14,False
2020-04-12,55,0,0,1,12,False
2020-04-19,58,0,0,0,14,False
2020-04-26,61,0,0,0,13,False
2020-05-03,61,0,0,1,12,False
2020-05-10,62,0,0,1,11,False
2020-05-17,64,0,0,1,11,False
2020-05-24,71,0,0,1,11,False
2020-05-31,75,0,0,0,9,False
2020-06-07,81,0,0,1,10,False
2020-06-14,79,0,0,1,11,False
2020-06-21,86,0,0,0,12,False
2020-06-28,83,0,0,1,10,False
2020-07-05,85,0,0,1,11,False
2020-07-12,87,0,0,1,12,False
2020-07-19,87,0,0,1,13,False
2020-07-26,87,0,0,1,9,False
2020-08-02,82,0,0,1,11,False
2020-08-09,78,0,0,0,12,False
2020-08-16,84,0,0,0,13,False
2020-08-23,77,0,0,0,11,False
2020-08-30,74,0,0,1,12,False
2020-09-06,73,0,0,1,10,False
2020-09-13,70,0,0,1,12,False
2020-09-20,73,0,0,1,14,False
2020-09-27,74,0,0,0,13,False
2020-10-04,80,0,0,0,13,False
2020-10-11,73,0,0,1,13,False
2020-10-18,71,0,0,1,14,False
2020-10-25,59,0,0,0,12,False
2020-11-01,51,0,0,0,10,False
2020-11-08,62,0,0,1,13,False
2020-11-15,66,1,0,1,14,False
2020-11-22,61,0,0,1,11,False
2020-11-29,57,0,0,1,12,False
2020-12-06,59,0,0,1,12,False
2020-12-13,59,0,0,0,12,False
2020-12-20,59,0,0,1,8,False
2020-12-27,58,0,0,1,8,False
2021-01-03,59,0,0,1,9,False
2021-01-10,60,0,0,1,11,False
2021-01-17,58,0,0,0,11,False
2021-01-24,63,0,0,1,13,False
2021-01-31,59,0,0,1,12,False
2021-02-07,64,0,0,1,13,False
2021-02-14,61,0,0,0,12,False
2021-02-21,65,0,0,1,14,False
2021-02-28,69,0,0,0,15,False
2021-03-07,68,0,0,1,13,False
2021-03-14,69,0,0,1,10,False
2021-03-21,63,0,0,1,12,False
2021-03-28,62,0,0,0,11,False
2021-04-04,72,0,0,1,12,False
2021-04-11,68,0,0,1,14,False
2021-04-18,68,0,0,1,12,False
2021-04-25,70,0,0,1,12,False
2021-05-02,71,0,0,0,12,False
2021-05-09,73,0,0,1,10,False
2021-05-16,70,0,0,1,10,False
2021-05-23,76,0,0,0,12,False
2021-05-30,75,0,0,1,9,False
2021-06-06,81,0,0,0,12,False
2021-06-13,80,0,0,1,11,False
2021-06-20,90,0,0,1,11,False
2021-06-27,88,0,0,0,11,False
2021-07-04,94,0,0,0,11,False
2021-07-11,90,0,0,1,10,False
2021-07-18,90,0,0,1,9,False
2021-07-25,84,0,0,0,10,False
2021-08-01,85,0,0,0,10,False
2021-08-08,85,0,0,1,10,False
2021-08-15,80,0,0,1,11,False
2021-08-22,76,0,0,1,10,False
2021-08-29,78,0,0,1,10,False
2021-09-05,78,0,0,1,10,False
2021-09-12,82,0,0,1,12,False
2021-09-19,76,0,0,1,12,False
2021-09-26,72,0,0,1,12,False
2021-10-03,75,0,0,1,13,False
2021-10-10,75,0,0,1,12,False
2021-10-17,66,0,0,1,14,False
2021-10-24,65,0,0,0,12,False
2021-10-31,61,0,0,0,10,False
2021-11-07,65,0,0,1,12,False
2021-11-14,61,0,0,1,11,False
2021-11-21,58,0,0,1,10,False
2021-11-28,62,0,0,1,13,False
2021-12-05,61,0,0,1,12,False
2021-12-12,56,0,0,0,11,False
2021-12-19,60,0,0,0,11,False
2021-12-26,56,0,0,0,9,False
2022-01-02,58,0,0,1,9,False
2022-01-09,55,0,0,1,12,False
2022-01-16,55,0,0,1,13,False
2022-01-23,63,0,0,0,12,False
2022-01-30,63,0,0,1,13,False
2022-02-06,64,0,0,0,12,False
2022-02-13,70,0,0,1,12,False
2022-02-20,66,0,0,1,13,False
2022-02-27,65,0,0,0,13,False
2022-03-06,65,0,0,1,13,False
2022-03-13,66,0,0,1,14,False
2022-03-20,70,0,0,1,11,False
2022-03-27,67,0,0,1,11,False
2022-04-03,67,0,0,0,14,False
2022-04-10,68,0,0,1,12,False
2022-04-17,73,0,0,1,14,False
2022-04-24,72,0,0,1,13,False
2022-05-01,73,0,0,0,11,False
2022-05-08,77,0,0,1,12,False
2022-05-15,73,0,0,1,11,False
2022-05-22,79,0,0,2,9,True
