date,pancreatic transplantation,parenteral glucagon emergency,pioglitazone,Pramlintide,diabetes causes,isPartial
2021-12-26,0,0,33,1,57,False
2022-01-02,0,0,38,1,54,False
2022-01-09,0,0,48,0,76,False
2022-01-16,0,0,55,3,82,False
2022-01-23,0,0,58,2,74,False
2022-01-30,0,0,47,2,80,False
2022-02-06,0,0,53,2,78,False
2022-02-13,0,0,62,0,74,False
2022-02-20,0,0,59,0,83,False
2022-02-27,0,0,67,0,80,False
2022-03-06,0,0,55,2,82,False
2022-03-13,0,0,54,2,86,False
2022-03-20,0,0,64,0,68,False
2022-03-27,0,0,64,4,68,False
2022-04-03,0,0,53,3,85,False
2022-04-10,0,0,56,2,77,False
2022-04-17,0,0,59,0,88,False
2022-04-24,0,0,49,3,82,False
2022-05-01,0,0,55,1,69,False
2022-05-08,0,0,50,1,75,False
2022-05-15,0,0,56,1,72,False
2022-05-22,0,0,33,0,54,True
