date,Glucophage,Glulisine,Glumetza,glyset,diabetes causes,isPartial
2018-06-24,17,2,2,0,60,False
2018-07-01,15,1,2,0,50,False
2018-07-08,13,2,3,0,72,False
2018-07-15,19,1,4,0,67,False
2018-07-22,24,1,2,0,68,False
2018-07-29,19,3,4,0,67,False
2018-08-05,18,1,1,1,62,False
2018-08-12,22,2,3,0,62,False
2018-08-19,21,1,0,0,62,False
2018-08-26,20,2,4,0,66,False
2018-09-02,21,1,1,0,64,False
2018-09-09,19,2,4,0,65,False
2018-09-16,22,3,2,0,87,False
2018-09-23,17,2,2,0,73,False
2018-09-30,16,2,3,0,85,False
2018-10-07,19,2,3,0,84,False
2018-10-14,21,1,1,0,75,False
2018-10-21,15,3,2,0,78,False
2018-10-28,19,2,4,2,85,False
2018-11-04,18,0,4,0,82,False
2018-11-11,17,3,4,1,85,False
2018-11-18,19,0,1,0,83,False
2018-11-25,19,3,1,0,91,False
2018-12-02,17,0,1,0,89,False
2018-12-09,13,2,3,0,82,False
2018-12-16,14,1,2,0,77,False
2018-12-23,14,0,1,0,61,False
2018-12-30,16,0,2,0,74,False
2019-01-06,24,1,4,1,67,False
2019-01-13,17,1,3,0,78,False
2019-01-20,18,1,5,0,74,False
2019-01-27,21,3,3,0,84,False
2019-02-03,17,2,4,1,82,False
2019-02-10,21,3,2,0,81,False
2019-02-17,22,2,3,0,89,False
2019-02-24,21,2,1,0,78,False
2019-03-03,21,1,3,0,91,False
2019-03-10,22,2,2,1,86,False
2019-03-17,20,2,3,0,94,False
2019-03-24,19,3,2,0,85,False
2019-03-31,19,2,5,0,85,False
2019-04-07,23,3,1,0,97,False
2019-04-14,19,2,2,0,84,False
2019-04-21,20,2,3,0,95,False
2019-04-28,17,2,2,0,85,False
2019-05-05,17,2,4,1,100,False
2019-05-12,24,0,1,0,83,False
2019-05-19,19,2,1,1,67,False
2019-05-26,22,0,4,0,74,False
2019-06-02,20,1,1,0,68,False
2019-06-09,17,1,1,0,63,False
2019-06-16,22,4,0,0,73,False
2019-06-23,19,2,1,0,65,False
2019-06-30,19,1,3,0,57,False
2019-07-07,16,2,2,0,68,False
2019-07-14,16,1,2,0,67,False
2019-07-21,18,2,1,0,70,False
2019-07-28,14,1,4,0,58,False
2019-08-04,19,1,3,1,63,False
2019-08-11,21,3,2,0,58,False
2019-08-18,19,1,4,0,59,False
2019-08-25,16,2,1,0,77,False
2019-09-01,16,3,2,1,66,False
2019-09-08,21,2,2,0,72,False
2019-09-15,19,2,3,1,64,False
2019-09-22,13,3,2,0,76,False
2019-09-29,17,1,3,0,91,False
2019-10-06,17,1,2,0,78,False
2019-10-13,21,2,3,0,76,False
2019-10-20,23,2,1,0,86,False
2019-10-27,17,3,4,1,81,False
2019-11-03,18,2,1,0,80,False
2019-11-10,14,1,3,0,84,False
2019-11-17,19,2,5,1,88,False
2019-11-24,13,2,3,0,62,False
2019-12-01,19,0,4,0,89,False
2019-12-08,24,3,2,0,86,False
2019-12-15,17,0,4,0,65,False
2019-12-22,14,0,1,0,62,False
2019-12-29,17,0,2,0,70,False
2020-01-05,15,2,2,0,72,False
2020-01-12,14,2,3,0,66,False
2020-01-19,18,1,3,0,67,False
2020-01-26,16,0,2,1,76,False
2020-02-02,20,3,2,0,84,False
2020-02-09,22,1,5,0,82,False
2020-02-16,17,2,2,0,76,False
