date,increased urination,increased water intake,intermediate hyperglycemia,PCOS,diabetes causes,isPartial
2021-06-20,1,0,0,90,7,False
2021-06-27,1,0,0,77,7,False
2021-07-04,1,0,0,71,7,False
2021-07-11,1,0,0,83,6,False
2021-07-18,1,0,0,71,6,False
2021-07-25,1,0,0,79,6,False
2021-08-01,1,0,0,74,6,False
2021-08-08,1,0,0,74,6,False
2021-08-15,1,0,0,70,7,False
2021-08-22,1,0,0,69,6,False
2021-08-29,1,0,0,75,6,False
2021-09-05,1,0,0,79,6,False
2021-09-12,1,0,0,78,7,False
2021-09-19,1,0,0,82,7,False
2021-09-26,1,0,0,71,8,False
2021-10-03,1,0,0,79,8,False
2021-10-10,1,0,0,81,7,False
2021-10-17,1,0,0,67,9,False
2021-10-24,2,0,0,71,7,False
2021-10-31,1,0,0,83,6,False
2021-11-07,1,0,0,77,7,False
2021-11-14,2,0,0,78,7,False
2021-11-21,1,0,0,58,6,False
2021-11-28,1,0,0,76,8,False
2021-12-05,1,0,0,70,7,False
2021-12-12,1,0,0,71,7,False
2021-12-19,1,0,0,58,6,False
2021-12-26,1,0,0,56,6,False
2022-01-02,1,0,0,71,5,False
2022-01-09,1,0,0,70,7,False
2022-01-16,1,0,0,72,8,False
2022-01-23,1,0,0,81,7,False
2022-01-30,2,0,0,76,8,False
2022-02-06,1,0,0,82,8,False
2022-02-13,1,0,0,82,7,False
2022-02-20,1,0,0,95,8,False
2022-02-27,1,0,0,86,8,False
2022-03-06,1,0,0,84,8,False
2022-03-13,1,0,0,82,8,False
2022-03-20,1,0,0,80,7,False
2022-03-27,1,0,0,77,7,False
2022-04-03,1,0,0,75,8,False
2022-04-10,1,0,0,76,7,False
2022-04-17,1,0,0,79,9,False
2022-04-24,1,0,0,77,8,False
2022-05-01,1,0,0,81,7,False
2022-05-08,1,0,0,80,7,False
2022-05-15,1,0,0,71,7,False
2022-05-22,2,0,0,77,5,True
