date,diabetes lifestyle,diabetes medication side effects,blood glucose,blood pressure,diabetes causes,isPartial
2020-03-22,0,0,3,63,1,False
2020-03-29,0,0,4,63,1,False
2020-04-05,0,0,4,66,1,False
2020-04-12,0,0,4,63,1,False
2020-04-19,0,0,4,69,1,False
2020-04-26,0,0,4,68,1,False
2020-05-03,0,0,4,66,1,False
2020-05-10,0,0,4,67,1,False
2020-05-17,0,0,3,66,1,False
2020-05-24,0,0,3,64,1,False
2020-05-31,0,0,4,65,1,False
2020-06-07,0,0,4,71,1,False
2020-06-14,0,0,4,68,1,False
2020-06-21,0,0,3,75,1,False
2020-06-28,0,0,4,72,1,False
2020-07-05,0,0,4,72,1,False
2020-07-12,0,0,4,75,1,False
2020-07-19,0,0,4,74,1,False
2020-07-26,0,0,4,75,1,False
2020-08-02,0,0,3,71,1,False
2020-08-09,0,0,4,69,1,False
2020-08-16,0,0,4,70,1,False
2020-08-23,0,0,4,71,1,False
2020-08-30,0,0,4,70,1,False
2020-09-06,0,0,4,69,1,False
2020-09-13,0,0,5,71,1,False
2020-09-20,0,0,5,77,1,False
2020-09-27,0,0,5,74,1,False
2020-10-04,0,0,5,79,1,False
2020-10-11,0,0,5,78,1,False
2020-10-18,0,0,5,81,1,False
2020-10-25,0,0,5,76,1,False
2020-11-01,0,0,4,62,1,False
2020-11-08,0,0,5,76,1,False
2020-11-15,0,0,5,82,1,False
2020-11-22,0,0,3,70,1,False
2020-11-29,0,0,4,76,1,False
2020-12-06,0,0,4,79,1,False
2020-12-13,0,0,4,75,1,False
2020-12-20,0,0,3,69,1,False
2020-12-27,0,0,3,73,1,False
2021-01-03,0,0,3,79,1,False
2021-01-10,0,0,4,86,1,False
2021-01-17,0,0,4,86,1,False
2021-01-24,0,0,5,86,1,False
2021-01-31,0,0,5,88,1,False
2021-02-07,0,0,5,85,1,False
2021-02-14,0,0,5,79,1,False
2021-02-21,0,0,5,92,1,False
2021-02-28,0,0,5,90,1,False
2021-03-07,0,0,5,88,1,False
2021-03-14,0,0,5,81,1,False
2021-03-21,0,0,5,82,1,False
2021-03-28,0,0,4,78,1,False
2021-04-04,0,0,5,84,1,False
2021-04-11,0,0,5,84,1,False
2021-04-18,0,0,5,82,1,False
2021-04-25,0,0,5,83,1,False
2021-05-02,0,0,5,80,1,False
2021-05-09,0,0,4,79,1,False
2021-05-16,0,0,4,82,1,False
2021-05-23,0,0,4,76,1,False
2021-05-30,0,0,4,74,1,False
2021-06-06,0,0,4,76,1,False
2021-06-13,0,0,4,79,1,False
2021-06-20,0,0,4,78,1,False
2021-06-27,0,0,4,74,1,False
2021-07-04,0,0,4,73,1,False
2021-07-11,0,0,4,83,1,False
2021-07-18,0,0,4,82,1,False
2021-07-25,0,0,4,79,1,False
2021-08-01,0,0,4,81,1,False
2021-08-08,0,0,3,80,1,False
2021-08-15,0,0,4,80,1,False
2021-08-22,0,0,4,81,1,False
2021-08-29,0,0,5,79,1,False
2021-09-05,0,0,4,76,1,False
2021-09-12,0,0,5,81,1,False
2021-09-19,0,0,5,79,1,False
2021-09-26,0,0,5,79,1,False
2021-10-03,0,0,5,79,1,False
2021-10-10,0,0,5,81,1,False
2021-10-17,0,0,5,85,1,False
2021-10-24,0,0,5,83,1,False
2021-10-31,0,0,4,80,1,False
2021-11-07,0,0,5,82,1,False
2021-11-14,0,0,5,84,1,False
2021-11-21,0,0,4,70,1,False
2021-11-28,0,0,5,81,1,False
2021-12-05,0,0,5,81,1,False
2021-12-12,0,0,4,77,1,False
2021-12-19,0,0,3,71,1,False
2021-12-26,0,0,3,76,1,False
2022-01-02,0,0,3,82,1,False
2022-01-09,0,0,4,86,1,False
2022-01-16,0,0,4,85,1,False
2022-01-23,0,0,5,90,1,False
2022-01-30,0,0,5,84,1,False
2022-02-06,0,0,5,91,1,False
2022-02-13,0,0,5,87,1,False
2022-02-20,0,0,5,85,1,False
2022-02-27,0,0,5,88,1,False
2022-03-06,0,0,5,89,1,False
2022-03-13,0,0,4,85,1,False
2022-03-20,0,0,5,100,1,False
2022-03-27,0,0,5,89,1,False
2022-04-03,0,0,5,88,1,False
2022-04-10,0,0,5,83,1,False
2022-04-17,0,0,5,87,1,False
2022-04-24,0,0,5,87,1,False
2022-05-01,0,0,5,89,1,False
2022-05-08,0,0,4,83,1,False
2022-05-15,0,0,4,80,1,False
2022-05-22,0,0,0,0,0,True
