date,latent autoimmune diabetes of adulthood ,Maturity-onset diabetes of the young,maturity-onset diabetes of the young ,metabolic syndrome,diabetes causes,isPartial
2019-09-22,0,0,0,61,67,False
2019-09-29,0,0,0,54,80,False
2019-10-06,0,0,0,55,69,False
2019-10-13,0,0,0,48,66,False
2019-10-20,0,0,0,59,75,False
2019-10-27,0,0,0,56,71,False
2019-11-03,0,0,0,56,70,False
2019-11-10,0,0,0,53,74,False
2019-11-17,0,0,0,60,77,False
2019-11-24,0,0,0,48,54,False
2019-12-01,0,0,0,59,78,False
2019-12-08,0,0,0,67,75,False
2019-12-15,0,0,0,43,57,False
2019-12-22,0,0,0,30,55,False
2019-12-29,0,0,0,41,62,False
2020-01-05,0,0,0,50,63,False
2020-01-12,0,0,0,47,58,False
2020-01-19,0,0,0,57,58,False
2020-01-26,0,0,0,52,67,False
2020-02-02,0,0,0,51,74,False
2020-02-09,0,0,0,60,72,False
2020-02-16,0,0,0,57,67,False
2020-02-23,0,0,0,56,75,False
2020-03-01,0,0,0,54,68,False
2020-03-08,0,0,0,51,58,False
2020-03-15,0,0,0,38,54,False
2020-03-22,0,0,0,36,56,False
2020-03-29,0,0,0,49,62,False
2020-04-05,0,0,0,43,79,False
2020-04-12,0,0,0,52,66,False
2020-04-19,0,0,0,53,76,False
2020-04-26,0,0,0,51,73,False
2020-05-03,0,0,0,52,68,False
2020-05-10,0,0,0,46,58,False
2020-05-17,0,0,0,43,63,False
2020-05-24,0,0,0,35,61,False
2020-05-31,0,0,0,35,52,False
2020-06-07,0,0,0,52,56,False
2020-06-14,0,0,0,42,61,False
2020-06-21,0,0,0,46,69,False
2020-06-28,0,0,0,49,57,False
2020-07-05,0,0,0,43,61,False
2020-07-12,0,0,0,45,66,False
2020-07-19,0,0,0,54,70,False
2020-07-26,0,0,0,44,52,False
2020-08-02,0,0,0,49,62,False
2020-08-09,0,0,0,38,68,False
2020-08-16,0,0,0,45,72,False
2020-08-23,0,0,0,38,61,False
2020-08-30,0,0,0,50,65,False
2020-09-06,0,0,0,55,57,False
2020-09-13,0,0,0,55,66,False
2020-09-20,0,0,0,57,77,False
2020-09-27,0,0,0,100,71,False
2020-10-04,0,0,0,58,69,False
2020-10-11,0,0,0,51,71,False
2020-10-18,0,0,0,58,76,False
2020-10-25,0,0,0,54,65,False
2020-11-01,0,0,0,43,55,False
2020-11-08,0,0,0,48,70,False
2020-11-15,0,0,0,56,79,False
2020-11-22,0,0,0,39,59,False
2020-11-29,0,0,0,48,67,False
2020-12-06,0,0,0,40,66,False
2020-12-13,0,0,0,45,64,False
2020-12-20,0,0,0,33,44,False
2020-12-27,0,0,0,34,47,False
2021-01-03,0,0,0,37,48,False
2021-01-10,0,0,0,42,60,False
2021-01-17,0,0,0,39,60,False
2021-01-24,0,0,0,47,70,False
2021-01-31,0,0,0,51,67,False
2021-02-07,0,0,0,62,71,False
2021-02-14,0,0,0,53,66,False
2021-02-21,0,0,0,63,79,False
2021-02-28,0,0,0,57,83,False
2021-03-07,0,0,0,55,70,False
2021-03-14,0,0,0,53,56,False
2021-03-21,0,0,0,51,68,False
2021-03-28,0,0,0,48,61,False
2021-04-04,0,0,0,48,68,False
2021-04-11,0,0,0,48,75,False
2021-04-18,0,0,0,48,66,False
2021-04-25,0,0,0,53,66,False
2021-05-02,0,0,0,58,66,False
2021-05-09,0,0,0,50,57,False
2021-05-16,0,0,0,47,58,False
2021-05-23,0,0,0,50,67,False
2021-05-30,0,0,0,35,51,False
2021-06-06,0,0,0,46,67,False
2021-06-13,0,0,0,43,61,False
2021-06-20,0,0,0,39,62,False
2021-06-27,0,0,0,43,60,False
2021-07-04,0,0,0,36,62,False
2021-07-11,0,0,0,44,57,False
2021-07-18,0,0,0,36,52,False
2021-07-25,0,0,0,45,56,False
2021-08-01,0,0,0,35,55,False
2021-08-08,0,0,0,42,56,False
2021-08-15,0,0,0,36,60,False
2021-08-22,0,0,0,36,54,False
2021-08-29,0,0,0,37,58,False
2021-09-05,0,0,0,41,56,False
2021-09-12,0,0,0,49,64,False
2021-09-19,0,0,0,51,66,False
2021-09-26,0,0,0,52,69,False
2021-10-03,0,0,0,55,70,False
2021-10-10,0,0,0,54,64,False
2021-10-17,0,0,0,46,79,False
2021-10-24,0,0,0,48,68,False
2021-10-31,0,0,0,46,56,False
2021-11-07,0,0,0,43,64,False
2021-11-14,0,0,0,55,59,False
2021-11-21,0,0,0,37,55,False
2021-11-28,0,0,0,41,74,False
2021-12-05,0,0,0,47,67,False
2021-12-12,0,0,0,40,62,False
2021-12-19,0,0,0,28,58,False
2021-12-26,0,0,0,27,50,False
2022-01-02,0,0,0,38,48,False
2022-01-09,0,0,0,43,66,False
2022-01-16,0,0,0,34,72,False
2022-01-23,0,0,0,50,65,False
2022-01-30,0,0,0,47,70,False
2022-02-06,0,0,0,53,69,False
2022-02-13,0,0,0,57,65,False
2022-02-20,0,0,0,53,73,False
2022-02-27,0,0,0,48,70,False
2022-03-06,0,0,0,51,72,False
2022-03-13,0,0,0,46,75,False
2022-03-20,0,0,0,52,59,False
2022-03-27,0,0,0,57,60,False
2022-04-03,0,0,0,65,75,False
2022-04-10,0,0,0,45,68,False
2022-04-17,0,0,0,58,77,False
2022-04-24,0,0,0,46,72,False
2022-05-01,0,0,0,53,60,False
2022-05-08,0,0,0,45,65,False
2022-05-15,0,0,0,46,63,False
2022-05-22,0,0,0,35,48,True
