date,injection site rotation,insulin infusion pump,insulin injection,insulin needles,diabetes causes,isPartial
2018-07-22,0,1,18,17,68,False
2018-07-29,0,2,23,19,67,False
2018-08-05,0,2,16,18,62,False
2018-08-12,0,0,18,26,62,False
2018-08-19,0,1,19,18,62,False
2018-08-26,0,2,24,17,66,False
2018-09-02,0,3,16,21,64,False
2018-09-09,0,4,22,16,65,False
2018-09-16,0,1,25,17,87,False
2018-09-23,0,1,22,23,73,False
2018-09-30,0,1,20,19,85,False
2018-10-07,0,0,25,16,84,False
2018-10-14,0,3,23,13,75,False
2018-10-21,0,2,23,16,78,False
2018-10-28,0,1,15,16,85,False
2018-11-04,0,1,20,14,82,False
2018-11-11,0,2,22,22,85,False
2018-11-18,0,1,16,13,83,False
2018-11-25,0,0,19,16,91,False
2018-12-02,0,1,23,14,89,False
2018-12-09,0,1,15,14,82,False
2018-12-16,0,0,17,13,77,False
2018-12-23,0,1,9,14,61,False
2018-12-30,0,1,15,16,74,False
2019-01-06,0,1,21,16,67,False
2019-01-13,0,2,18,25,78,False
2019-01-20,0,0,22,19,74,False
2019-01-27,0,2,24,15,84,False
2019-02-03,0,0,25,20,82,False
2019-02-10,0,1,25,16,81,False
2019-02-17,0,3,23,23,89,False
2019-02-24,0,1,25,18,78,False
2019-03-03,0,1,18,20,91,False
2019-03-10,0,0,24,14,86,False
2019-03-17,0,1,20,19,94,False
2019-03-24,0,2,18,18,85,False
2019-03-31,0,0,19,16,85,False
2019-04-07,0,2,22,15,97,False
2019-04-14,0,1,19,19,84,False
2019-04-21,0,2,19,19,95,False
2019-04-28,0,2,23,18,85,False
2019-05-05,0,1,19,19,100,False
2019-05-12,0,1,17,14,83,False
2019-05-19,0,1,19,20,67,False
2019-05-26,0,1,24,15,74,False
2019-06-02,0,0,18,20,68,False
2019-06-09,0,1,18,26,63,False
2019-06-16,0,3,19,20,73,False
2019-06-23,0,2,16,19,65,False
2019-06-30,0,2,16,20,57,False
2019-07-07,0,3,18,17,68,False
2019-07-14,0,1,15,17,67,False
2019-07-21,0,2,17,18,70,False
2019-07-28,0,1,20,13,58,False
2019-08-04,0,1,22,19,63,False
2019-08-11,0,1,21,16,58,False
2019-08-18,0,3,20,20,59,False
2019-08-25,0,1,20,13,77,False
2019-09-01,0,1,17,16,66,False
2019-09-08,0,2,18,16,72,False
2019-09-15,0,2,28,15,64,False
2019-09-22,0,3,21,17,76,False
2019-09-29,0,4,27,15,91,False
2019-10-06,0,2,20,12,78,False
2019-10-13,0,2,21,15,76,False
2019-10-20,0,1,24,18,86,False
2019-10-27,0,4,15,19,81,False
2019-11-03,0,1,30,18,80,False
2019-11-10,0,2,23,19,84,False
2019-11-17,0,2,24,18,88,False
2019-11-24,0,2,14,13,62,False
2019-12-01,0,2,21,21,89,False
2019-12-08,0,1,20,14,86,False
2019-12-15,0,0,16,19,65,False
2019-12-22,0,1,15,16,62,False
2019-12-29,0,2,15,23,70,False
2020-01-05,0,1,18,14,72,False
2020-01-12,0,2,22,14,66,False
2020-01-19,0,2,21,17,67,False
2020-01-26,0,1,20,20,76,False
2020-02-02,0,2,21,20,84,False
2020-02-09,0,2,23,18,82,False
2020-02-16,0,3,19,19,76,False
2020-02-23,0,1,21,14,86,False
2020-03-01,0,2,25,22,77,False
2020-03-08,0,1,23,20,66,False
2020-03-15,0,1,16,15,62,False
2020-03-22,0,1,22,11,64,False
2020-03-29,0,1,20,14,70,False
2020-04-05,0,1,22,16,90,False
2020-04-12,0,1,17,16,75,False
2020-04-19,0,1,22,15,87,False
2020-04-26,0,1,21,16,83,False
2020-05-03,0,1,20,16,77,False
2020-05-10,0,1,16,13,66,False
2020-05-17,0,1,16,9,71,False
2020-05-24,0,1,17,11,69,False
2020-05-31,0,2,19,17,59,False
2020-06-07,0,2,24,14,63,False
2020-06-14,0,0,25,12,69,False
2020-06-21,0,2,21,16,79,False
2020-06-28,0,2,19,13,65,False
2020-07-05,0,1,20,15,69,False
2020-07-12,0,1,19,14,75,False
2020-07-19,0,0,23,10,80,False
2020-07-26,0,1,18,17,60,False
2020-08-02,0,2,18,12,71,False
2020-08-09,0,1,20,18,78,False
2020-08-16,0,3,20,19,82,False
2020-08-23,0,2,21,14,70,False
2020-08-30,0,1,19,15,74,False
2020-09-06,0,1,24,15,65,False
2020-09-13,0,1,28,15,76,False
2020-09-20,0,0,26,18,88,False
2020-09-27,0,2,26,11,81,False
2020-10-04,0,1,26,18,79,False
2020-10-11,0,1,28,16,81,False
2020-10-18,0,2,31,12,86,False
2020-10-25,0,3,21,20,74,False
2020-11-01,0,0,22,12,63,False
2020-11-08,0,0,21,11,80,False
2020-11-15,0,0,29,17,90,False
2020-11-22,0,0,23,11,68,False
2020-11-29,0,2,22,16,76,False
2020-12-06,0,0,23,12,76,False
2020-12-13,0,1,24,21,73,False
2020-12-20,0,0,22,16,51,False
2020-12-27,0,0,19,19,54,False
2021-01-03,0,3,22,17,55,False
2021-01-10,0,1,20,20,69,False
2021-01-17,0,0,24,19,68,False
2021-01-24,0,1,23,24,80,False
2021-01-31,0,3,23,19,77,False
2021-02-07,0,2,26,16,82,False
2021-02-14,0,1,31,18,76,False
2021-02-21,0,1,34,23,90,False
2021-02-28,0,2,26,18,95,False
2021-03-07,0,1,21,17,79,False
2021-03-14,0,1,27,18,64,False
