date,Humalog,Humulin,Humulin N,inhaled insulin,diabetes causes,isPartial
2021-08-08,48,26,8,1,53,False
2021-08-15,51,24,8,0,56,False
2021-08-22,58,20,3,0,51,False
2021-08-29,54,18,5,1,54,False
2021-09-05,57,22,7,0,52,False
2021-09-12,58,29,7,0,60,False
2021-09-19,56,29,10,2,62,False
2021-09-26,60,25,3,0,65,False
2021-10-03,66,24,7,0,66,False
2021-10-10,57,21,5,0,60,False
2021-10-17,61,24,8,0,74,False
2021-10-24,62,25,5,1,64,False
2021-10-31,56,21,4,0,53,False
2021-11-07,63,24,6,0,60,False
2021-11-14,61,19,4,0,56,False
2021-11-21,49,20,7,1,52,False
2021-11-28,59,29,9,1,70,False
2021-12-05,58,22,5,0,63,False
2021-12-12,56,27,10,1,58,False
2021-12-19,45,20,4,0,55,False
2021-12-26,39,25,5,0,47,False
2022-01-02,63,25,6,0,45,False
2022-01-09,62,24,7,2,62,False
2022-01-16,48,21,5,1,68,False
2022-01-23,61,32,7,0,61,False
2022-01-30,64,24,5,0,66,False
2022-02-06,71,32,8,0,65,False
2022-02-13,60,27,8,0,61,False
2022-02-20,66,25,9,1,69,False
2022-02-27,64,27,7,0,66,False
2022-03-06,76,27,8,0,67,False
2022-03-13,66,21,6,0,71,False
2022-03-20,74,25,7,2,56,False
2022-03-27,67,27,7,2,56,False
2022-04-03,69,25,4,1,70,False
2022-04-10,57,24,6,2,64,False
2022-04-17,61,31,7,1,73,False
2022-04-24,56,19,6,1,68,False
2022-05-01,66,27,6,1,57,False
2022-05-08,57,26,7,1,61,False
2022-05-15,53,25,6,0,59,False
2022-05-22,0,0,0,0,0,True
