date,Post-prandial glucose,PPG,urine glucose,Acarbose,diabetes causes,isPartial
2019-05-12,0,70,5,1,15,False
2019-05-19,0,68,4,1,12,False
2019-05-26,0,60,5,1,13,False
2019-06-02,0,69,5,1,12,False
2019-06-09,0,71,5,1,11,False
2019-06-16,0,74,5,2,13,False
2019-06-23,0,77,5,1,12,False
2019-06-30,0,58,4,2,10,False
2019-07-07,0,67,5,2,12,False
2019-07-14,0,64,5,2,12,False
2019-07-21,0,63,6,1,13,False
2019-07-28,0,80,4,1,10,False
2019-08-04,0,64,5,2,11,False
2019-08-11,0,70,4,2,10,False
2019-08-18,0,66,5,1,11,False
2019-08-25,0,58,5,2,14,False
2019-09-01,0,66,4,1,12,False
2019-09-08,0,61,5,1,13,False
2019-09-15,0,65,5,1,11,False
2019-09-22,0,62,5,2,14,False
2019-09-29,0,71,4,1,16,False
2019-10-06,0,75,6,2,14,False
2019-10-13,0,74,5,2,14,False
2019-10-20,0,63,6,1,15,False
2019-10-27,0,63,6,2,14,False
2019-11-03,0,76,9,2,14,False
2019-11-10,0,68,8,1,15,False
2019-11-17,0,75,8,1,16,False
2019-11-24,0,59,5,1,11,False
2019-12-01,0,70,7,2,16,False
2019-12-08,0,61,6,2,15,False
2019-12-15,0,68,4,1,12,False
2019-12-22,0,68,3,1,11,False
2019-12-29,0,59,4,1,13,False
2020-01-05,0,66,5,1,13,False
2020-01-12,0,66,6,1,12,False
2020-01-19,0,65,5,1,12,False
2020-01-26,0,73,6,2,14,False
2020-02-02,0,73,6,2,15,False
2020-02-09,0,70,6,1,15,False
2020-02-16,0,74,6,2,14,False
2020-02-23,0,74,7,2,15,False
2020-03-01,0,66,7,2,14,False
2020-03-08,0,63,6,2,12,False
2020-03-15,0,58,4,1,11,False
2020-03-22,0,57,5,1,11,False
2020-03-29,0,55,6,1,13,False
2020-04-05,0,61,7,2,16,False
2020-04-12,0,57,6,2,14,False
2020-04-19,0,62,9,2,16,False
2020-04-26,0,62,8,1,15,False
2020-05-03,0,62,7,2,14,False
2020-05-10,0,60,5,1,12,False
2020-05-17,0,63,6,1,13,False
2020-05-24,0,57,4,1,12,False
2020-05-31,0,57,4,1,11,False
2020-06-07,0,60,6,2,11,False
2020-06-14,0,60,7,1,12,False
2020-06-21,0,58,5,2,14,False
2020-06-28,0,54,6,1,12,False
2020-07-05,0,58,6,2,12,False
2020-07-12,0,59,6,1,13,False
2020-07-19,0,58,5,2,14,False
2020-07-26,0,55,6,2,11,False
2020-08-02,0,62,6,1,13,False
2020-08-09,0,64,7,1,14,False
2020-08-16,0,66,5,2,15,False
2020-08-23,0,55,5,1,12,False
2020-08-30,0,58,7,1,13,False
2020-09-06,0,55,6,2,12,False
2020-09-13,0,55,5,2,14,False
