date,plasma concentration,plasma glucose,post glucose tolerance test,post prandial glucose,diabetes causes,isPartial
2019-03-31,10,9,0,1,85,False
2019-04-07,10,14,0,1,97,False
2019-04-14,17,10,0,1,84,False
2019-04-21,10,14,0,0,95,False
2019-04-28,8,11,0,1,85,False
2019-05-05,8,9,0,1,100,False
2019-05-12,8,11,0,1,83,False
2019-05-19,5,7,0,1,67,False
2019-05-26,7,10,0,0,74,False
2019-06-02,4,6,0,0,68,False
2019-06-09,7,12,0,0,63,False
2019-06-16,11,9,0,1,73,False
2019-06-23,8,4,0,1,65,False
2019-06-30,4,5,0,1,57,False
2019-07-07,7,4,0,0,68,False
2019-07-14,6,9,0,0,67,False
2019-07-21,3,7,0,0,70,False
2019-07-28,6,5,0,0,58,False
2019-08-04,4,8,0,1,63,False
2019-08-11,4,7,0,1,58,False
2019-08-18,6,5,0,0,59,False
2019-08-25,14,12,0,1,77,False
2019-09-01,27,15,0,1,66,False
2019-09-08,19,16,0,0,72,False
2019-09-15,31,16,0,0,64,False
2019-09-22,27,20,0,2,76,False
2019-09-29,28,17,0,1,91,False
2019-10-06,20,18,0,0,78,False
2019-10-13,15,14,0,1,76,False
2019-10-20,15,12,0,0,86,False
2019-10-27,17,12,0,0,81,False
2019-11-03,17,11,0,0,80,False
2019-11-10,11,13,0,1,84,False
2019-11-17,16,11,0,2,88,False
2019-11-24,4,7,0,0,62,False
2019-12-01,12,12,0,0,89,False
2019-12-08,14,11,0,0,86,False
2019-12-15,12,7,0,0,65,False
2019-12-22,2,4,0,2,62,False
2019-12-29,2,4,0,1,70,False
2020-01-05,10,12,0,1,72,False
2020-01-12,11,9,0,0,66,False
2020-01-19,10,9,0,2,67,False
2020-01-26,16,12,0,0,76,False
2020-02-02,20,17,0,1,84,False
2020-02-09,19,13,0,2,82,False
2020-02-16,15,17,0,0,76,False
2020-02-23,16,18,0,0,86,False
2020-03-01,17,8,0,1,77,False
2020-03-08,12,8,0,0,66,False
2020-03-15,11,3,0,0,62,False
2020-03-22,11,9,0,1,64,False
2020-03-29,20,12,0,1,70,False
2020-04-05,21,16,0,0,90,False
2020-04-12,14,14,0,1,75,False
2020-04-19,19,17,0,1,87,False
2020-04-26,10,13,0,1,83,False
2020-05-03,18,13,0,1,77,False
2020-05-10,8,10,0,0,66,False
2020-05-17,10,12,0,1,71,False
2020-05-24,7,8,0,1,69,False
2020-05-31,9,8,0,0,59,False
2020-06-07,11,9,0,1,63,False
2020-06-14,8,12,0,0,69,False
2020-06-21,10,10,0,2,79,False
2020-06-28,11,9,0,1,65,False
2020-07-05,13,12,0,0,69,False
2020-07-12,8,10,0,0,75,False
2020-07-19,11,10,0,1,80,False
2020-07-26,10,9,0,2,60,False
2020-08-02,5,6,0,3,71,False
2020-08-09,5,7,0,2,78,False
2020-08-16,7,6,0,2,82,False
2020-08-23,10,11,0,1,70,False
2020-08-30,25,21,0,2,74,False
2020-09-06,33,25,0,1,65,False
2020-09-13,42,23,0,0,76,False
2020-09-20,52,25,0,1,88,False
2020-09-27,39,27,0,1,81,False
2020-10-04,38,25,0,0,79,False
2020-10-11,36,22,0,0,81,False
2020-10-18,41,30,0,0,86,False
2020-10-25,32,28,0,1,74,False
2020-11-01,26,17,0,1,63,False
