date,prandin,precose,rapid acting insulin,Regular insulin,diabetes causes,isPartial
2021-03-21,5,2,6,22,78,False
2021-03-28,5,1,4,23,70,False
2021-04-04,3,2,6,22,77,False
2021-04-11,4,1,6,24,86,False
2021-04-18,8,3,5,21,75,False
2021-04-25,4,2,4,24,75,False
2021-05-02,3,0,3,20,76,False
2021-05-09,3,3,2,18,65,False
2021-05-16,5,1,5,19,66,False
2021-05-23,5,1,1,20,77,False
2021-05-30,5,2,4,21,58,False
2021-06-06,5,2,5,19,77,False
2021-06-13,5,1,2,20,70,False
2021-06-20,7,2,1,24,71,False
2021-06-27,3,1,4,24,68,False
2021-07-04,4,0,4,19,71,False
2021-07-11,4,0,3,20,66,False
2021-07-18,3,2,3,20,60,False
2021-07-25,6,0,2,19,63,False
2021-08-01,7,2,1,18,63,False
2021-08-08,5,0,4,11,64,False
2021-08-15,5,1,2,15,68,False
2021-08-22,2,1,3,15,61,False
2021-08-29,3,1,5,18,66,False
2021-09-05,2,4,4,24,63,False
2021-09-12,7,2,5,25,73,False
2021-09-19,6,2,3,25,75,False
2021-09-26,4,0,3,25,79,False
2021-10-03,4,1,1,27,80,False
2021-10-10,7,2,7,23,73,False
2021-10-17,6,2,3,22,90,False
2021-10-24,2,2,5,32,77,False
2021-10-31,2,2,4,24,64,False
2021-11-07,5,4,5,24,73,False
2021-11-14,5,0,3,24,68,False
2021-11-21,3,1,4,21,63,False
2021-11-28,3,1,3,24,85,False
2021-12-05,4,2,6,18,76,False
2021-12-12,6,1,5,17,71,False
2021-12-19,0,0,2,16,66,False
2021-12-26,5,2,1,13,57,False
2022-01-02,4,2,3,14,54,False
2022-01-09,5,2,5,17,76,False
2022-01-16,4,2,3,18,82,False
2022-01-23,6,2,7,22,74,False
2022-01-30,4,1,7,25,80,False
2022-02-06,3,1,3,28,78,False
2022-02-13,3,1,6,21,74,False
2022-02-20,5,1,9,29,83,False
2022-02-27,4,0,5,20,80,False
2022-03-06,5,3,4,29,82,False
2022-03-13,3,0,6,16,86,False
2022-03-20,3,1,3,29,68,False
2022-03-27,5,4,2,23,68,False
2022-04-03,7,3,4,26,85,False
2022-04-10,3,2,6,22,77,False
2022-04-17,4,2,7,24,88,False
2022-04-24,4,2,5,22,82,False
2022-05-01,4,3,5,19,69,False
2022-05-08,3,0,5,23,75,False
2022-05-15,3,2,3,21,72,False
2022-05-22,0,0,0,13,54,True
